kinase	substrate	marker	q	gps	biogrid	fasolo	parca	fiedler	EMAP	yeastkid	netphorest	networkin	networkin STRING	networkin_biogrid	activation	binding	catalysis	expression	inhibition	ptmod	reaction	undirected	ptacek	n_datasets	goldstandard1	goldstandard2	goldstandard3	goldstandard4
YAR018C	YKL198C	0.00469254680922482	0.378753717506402	0.000223							0.173699	0.6593	0.1215	0.2689								195		5				
YAR018C	YKL203C	0.042884721315857	0.000412024752843532	0.000213							0.221852	1.8509	0.1894	0.6231										4				
YAR018C	YLL010C	0.00884435341604832	0.271873711573825	0.000208							0.166575	0.6481	0.1233	0.392										4				
YAR018C	YLL019C	0.0312860816285543	0.00782499456251142	0.000242							0.164991	0.7194	0.2748	0.4982										4				
YAR018C	YLR019W	-0.0354890693122076	0.00299853252604951	0.000203							0.166575	0.6481	0.1016	0.3006										4				
YAR018C	YLR096W	0.00940425695616343	0.257250276192241	0.000211							0.175223	0.7142	0.2574	0.7142								153		5	0			
YAR018C	YLR113W	-0.0313885878650304	0.00765674888376401	0.000218							0.133247	0.6556	0.34	0.4663								179		5				
YAR018C	YLR210W	-0.0241301823840966	0.0316389512333425	0.000202							0.173233	0.6589	0.1599	0.2692			900					905		6				
YAR018C	YLR226W	0.0114388545748568	0.205501262611697	0.000192							0.125335	0.5295	0.1464	0.1186										4				
YAR018C	YLR240W	-0.0246667396891157	0.0288396969861931	0.000210							0.164046	0.6385	0.1286	0.3029										4				
YAR018C	YLR248W	-0.0248026547454916	0.0281569679005947	0.000200							0.204568	1.245	0.1477	0.445										4				
YAR018C	YLR362W	-0.0232996982514776	0.0365357628419554	0.000224							0.178338	0.6628	0.1477	0.4984										4				
YAR018C	YLR433C	0.00406051398574561	0.394069511295141	0.000182							0.114522	0.5226	0.2006	0.3013										4				
YAR018C	YML016C	-0.0241629963293336	0.0314566704407863	0.000220						0.179598	0.239628	3.1388	0.377	0.6751								206		6				
YAR018C	YML057W	-0.0147531736669549	0.132328273139617	0.000190							0.116689	0.5239	0.2006	0.4426										4				
YAR018C	YML112W	-0.0346882654963767	0.00364837973768048	0.000202							0.114257	0.5224	0.1125	0.483										4				
YAR018C	YMR001C	0.0226918974621631	0.0405397942896984	0.000200							0.150751	0.6738	0.3458	0.5202			900					933		6				
YAR018C	YMR036C	0.00499688296834765	0.371247134614989	0.000221							0.226321	2.0119	0.217	0.4732								287		5				
YAR018C	YMR104C	-0.0174926550676832	0.0911564774277792	0.000228						-0.217601	0.188434	0.8669	0.143	0.5502								223		6	0	0		
YAR018C	YMR139W	0.0305937666214964	0.00906618990086926	0.000187							0.169058	0.8008	0.3209	0.3283								298		5				
YAR018C	YMR216C	-0.0222986406938926	0.0432802329595047	0.000192							0.203544	7.1704	0.635	3.6461								246		5				
YAR018C	YMR277W	0.0177284751897929	0.0881619518359492	0.000234							0.133645	0.5349	0.1914	0.1013										4				
YAR018C	YMR291W	-0.0194033686246372	0.0687259239497214	0.000194							0.166772	0.6489	0.0986	0.5109										4				
YAR018C	YNL020C	0.0299243525252818	0.0104398027755096	0.000228							0.177378	0.6621	0.1618	0.5242										4				
YAR018C	YNL025C	0	0.481425639536617	0.000219							0.163255	0.6354	0.1768											3				
YAR018C	YNL032W	-0.0265509391172231	0.0203294304730089	0.000188							0.093592	0.5726	0.3553	0.1544										4				
YAR018C	YNL053W	0.0224507582218754	0.0421891905480657	0.000201							0.152702	0.5755	0.162	0.4952										4				
YAR018C	YNL056W	0.0161344061249653	0.109966118635919	0.000195							0.111541	0.6396	0.3524	0.1405										4				
