P	Target	activation	binding	catalysis	expression	inhibition	ptmod	reaction	P_gene	Target_gene
YPL209C	YHL027W			239				239	IPL1	RIM101
YPL209C	YHL027W	688		879			359	874	IPL1	RIM101
YPL209C	YHL027W			224				224	IPL1	RIM101
YPL209C	YHL027W			305					IPL1	RIM101
YPL209C	YHL027W			288			210		IPL1	RIM101
YPL209C	YHL027W			315					IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W	254		267				267	IPL1	RIM101
YPL209C	YHL027W	444		461			585	461	IPL1	RIM101
YPL209C	YHL027W						209		IPL1	RIM101
YPL209C	YHL027W	196		196				196	IPL1	RIM101
YPL209C	YHL027W			202					IPL1	RIM101
YPL209C	YHL027W	153		185				185	IPL1	RIM101
YPL209C	YHL027W			153				153	IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W	806		861				861	IPL1	RIM101
YPL209C	YHL027W			569				569	IPL1	RIM101
YPL209C	YHL027W			191				191	IPL1	RIM101
YPL209C	YHL027W			202					IPL1	RIM101
YPL209C	YHL027W			915				915	IPL1	RIM101
YPL209C	YHL027W	832		885				885	IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
YPL209C	YHL027W			177				177	IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W			900					IPL1	RIM101
YPL209C	YHL027W			902					IPL1	RIM101
YPL209C	YHL027W						209		IPL1	RIM101
YPL209C	YHL027W	309		309				309	IPL1	RIM101
YPL209C	YHL027W			228				205.5	IPL1	RIM101
YPL209C	YHL027W			896				709	IPL1	RIM101
YPL209C	YHL027W			911					IPL1	RIM101
YPL209C	YHL027W			428				428	IPL1	RIM101
YPL209C	YHL027W			579				579	IPL1	RIM101
YPL209C	YHL027W	832		887				887	IPL1	RIM101
YPL209C	YHL027W	190		190				190	IPL1	RIM101
YPL209C	YHL027W	266	155	266				266	IPL1	RIM101
YPL209C	YHL027W			367				367	IPL1	RIM101
YPL209C	YHL027W			315					IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
YPL209C	YHL027W			447					IPL1	RIM101
YPL209C	YHL027W			315					IPL1	RIM101
YPL209C	YHL027W	183		270				270	IPL1	RIM101
YPL209C	YHL027W	190		190				190	IPL1	RIM101
YPL209C	YHL027W			187					IPL1	RIM101
YBR160W	YPL075W						500		CDC28	GCR1
YBR160W	YPL075W			294			821	294	CDC28	GCR1
YBR160W	YPL075W			163				175	CDC28	GCR1
YBR160W	YPL075W			900					CDC28	GCR1
YBR160W	YPL075W					282			CDC28	GCR1
YBR160W	YPL075W			909					CDC28	GCR1
YBR160W	YPL075W			916					CDC28	GCR1
YBR160W	YPL075W			915					CDC28	GCR1
YBR160W	YPL075W	900							CDC28	GCR1
YBR160W	YPL075W			941				440	CDC28	GCR1
YBR160W	YPL075W	915							CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W			151			365		CDC28	GCR1
YBR160W	YPL075W			537		537		537	CDC28	GCR1
YBR160W	YPL075W			583				583	CDC28	GCR1
YBR160W	YPL075W			244					CDC28	GCR1
YBR160W	YPL075W			311					CDC28	GCR1
YBR160W	YPL075W						411		CDC28	GCR1
YBR160W	YPL075W			955				575	CDC28	GCR1
YBR160W	YPL075W						499		CDC28	GCR1
YBR160W	YPL075W			153				153	CDC28	GCR1
YBR160W	YPL075W			150				150	CDC28	GCR1
YBR160W	YPL075W			923				923	CDC28	GCR1
YBR160W	YPL075W			582				955	CDC28	GCR1
YBR160W	YPL075W			412.5					CDC28	GCR1
YBR160W	YPL075W			163				163	CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W			153				153	CDC28	GCR1
YBR160W	YPL075W			949				519	CDC28	GCR1
YBR160W	YPL075W						224		CDC28	GCR1
YBR160W	YPL075W						562		CDC28	GCR1
YBR160W	YPL075W					282			CDC28	GCR1
YBR160W	YPL075W			267			526		CDC28	GCR1
YBR160W	YPL075W			325					CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W			307		307		307	CDC28	GCR1
YBR160W	YPL075W							537	CDC28	GCR1
YBR160W	YPL075W			150			179	150	CDC28	GCR1
YBR160W	YPL075W			900					CDC28	GCR1
YBR160W	YPL075W	224							CDC28	GCR1
YBR160W	YPL075W	158		955			406		CDC28	GCR1
YBR160W	YPL075W			450				942	CDC28	GCR1
YBR160W	YPL075W			179					CDC28	GCR1
YBR160W	YPL075W			900					CDC28	GCR1
YBR160W	YPL075W							163	CDC28	GCR1
YBR160W	YPL075W			934			298	934	CDC28	GCR1
YBR160W	YPL075W			239					CDC28	GCR1
YBR160W	YPL075W			179					CDC28	GCR1
YBR160W	YPL075W			219					CDC28	GCR1
YBR160W	YPL075W						615		CDC28	GCR1
YBR160W	YPL075W							442	CDC28	GCR1
YBR160W	YPL075W			169				169	CDC28	GCR1
YBR160W	YPL075W						451		CDC28	GCR1
YBR160W	YPL075W						451		CDC28	GCR1
