KP	KP2	Target
CMK1		YLR457C
CMK1		YDR328C
CMK1		YBL055C
CMK1		YBL011W
CMK1		YLL033W
CMK1		YOR141C
CMK1		YCL029C
CMK1		YPR171W
CMK1		YKL042W
CMK1		YJL137C
CMK1		YPR187W
CMK1		YLR265C
CMK1		YOR078W
CMK1		YGL055W
CMK1		YLR215C
CMK1		YGL143C
CMK1		YKL044W
CMK1		YJL160C
CMK1		YGL172W
CMK1		YDR486C
CMK1		YMR173W
CMK1		YLR319C
CMK1		YIL052C
CMK1		YMR290C
CMK1		YKL149C
CMK1		YMR087W
CMK1		YJL148W
CMK1		YNL267W
CMK1		YKL128C
CMK1		YPR083W
CMK1		YBL078C
CMK1		YPL133C
CMK1		YJL136C
CMK1		YAL028W
CMK1		YER157W
CMK1		YGR028W
CMK1		YFL054C
CMK1		YOR092W
CMK2		YML037C
CMK2		YER064C
CMK2		YPR013C
CMK2		YDR264C
CMK2		YJL007C
CMK2		YML096W
CMK2		YMR165C
CMK2		YPR050C
CMK2		YGR159C
CMK2		YFR056C
CTK1		YJL089W
CTK1		YOL012C
DBF2		YOR228C
DBF2		YOR362C
DBF2		YDR299W
DBF2		YML035C
DBF2		YNL007C
DBF2		YHR182W
DBF2		YNL155W
DBF2		YKL168C
DBF2		YJL211C
DBF2		YKR022C
DBF2		YMR165C
DBF2		YNL101W
DBF2		YFR033C
DBF2		YJL076W
DBF2		YNR006W
DBF2		YKL146W
DBF2		YNL284C-A
DBF2		YGR038C-A
DBF2		YNL272C
DBF2		YHL021C
DBF2		YKL077W
DBF2		YPR091C
DBF2		YGR223C
DBF2		YGL245W
DBF2		YDR293C
DBF2		YPL150W
DBF2		YDR134C
DBF2		YIL135C
DBF2		YDL019C
DBF2		YLR303W
DBF2		YBL024W
DBF2		YMR239C
DBF2		YDL153C
DBF2		YBR118W
DBF2		YGR220C
DBF2		YJR094W-A
DBF2		YNR047W
DBF2		YJR142W
DBF2		YML037C
DBF2		YMR184W
DBF2		YKL140W
DBF2		YOL104C
DBF2		YNL125C
DBF2		YBR285W
DBF2		YGR264C
DBF2		YGL105W
DBF2		YMR229C
DBF2		YJL108C
DBF2		YCR105W
DBF2		YBR108W
DBF2		YPR137C-A
DBF2		YDL002C
DBF2		YBL106C
DBF2		YJL213W
DBF2		YDL070W
DBF2		YDR226W
DBF2		YDL220C
DBF2		YBR138C
DBF2		YPL257W-A
DBF2		YLR007W
DBF2		YMR196W
DBF2		YLL008W
DUN1		YKR097W
DUN1		YHR185C
DUN1		YBL011W
DUN1		YLR098C
DUN1		YER064C
DUN1		YPL177C
DUN1		YLR001C
DUN1		YGR038C-A
DUN1		YJR056C
DUN1		YDR264C
DUN1		YER079W
DUN1		YJL111W
DUN1		YAR019C
DUN1		YEL017W
DUN1		YHR067W
DUN1		YDR523C
DUN1		YDR171W
DUN1		YDR531W
DUN1		YML083C
DUN1		YPR050C
ELM1		YIL033C
ELM1		YJR130C
ELM1		YBR064W
ELM1		YPL128C
ELM1		YHR111W
FUN31		YGL245W
FUN31		YDR293C
FUN31		YNR047W
FUN31		YCL043C
FUN31		YPR160W
FUN31		YHL024W
FUN31		YAR019C
FUN31		YDR454C
FUN31		YDR259C
FUN31		YLR257W
FUN31		YJL110C
FUN31		YOL125W
FUN31		YML037C
FUN31		YMR184W
FUN31		YKL168C
FUN31		YML073C
FUN31		YDR134C
FUN31		YPR050C
FUN31		YDL153C
FUS3		YBL023C
FUS3		YPR086W
FUS3		YGL055W
FUS3		YER082C
FUS3		YHR117W
FUS3		YPL146C
FUS3		YMR262W
FUS3		YGR237C
FUS3		YGL099W
FUS3		YOR309C
FUS3		YOL103W-A
FUS3		YLR451W
FUS3		YPR139C
FUS3		YFL023W
FUS3		YBL057C
FUS3		YDL153C
FUS3		YKL081W
FUS3		YHR214C-C
FUS3		YPL133C
FUS3		YDR439W
FUS3		YER098W
FUS3		YDR120C
FUS3		YPR158C-C
FUS3		YHL019C
FUS3		YLR003C
FUS3		YDR153C
FUS3		YNL227C
FUS3		YKL064W
FUS3		YNL186W
FUS3		YPR137C-A
FUS3		YHR131C
FUS3		YDL070W
FUS3		YNL136W
FUS3		YBL055C
FUS3		YBL011W
FUS3		YDR440W
FUS3		YNL054W-A
FUS3		YPL257W-A
FUS3		YLR192C
FUS3		YPR158W-A
FUS3		YER122C
FUS3		YOR151C
FUS3		YOL127W
FUS3		YOR141C
FUS3		YNL284C-A
FUS3		YDR034C-C
FUS3		YEL053C
FUS3		YDR266C
FUS3		YML045W-A
FUS3		YER151C
FUS3		YOL130W
FUS3		YEL032W
FUS3		YBR055C
FUS3		YDL173W
FUS3		YNL293W
FUS3		YGR027W-A
FUS3		YAL034C
FUS3		YJR014W
FUS3		YJL117W
FUS3		YMR235C
FUS3		YNL135C
FUS3		YOR276W
FUS3		YGL082W
FUS3		YOL023W
FUS3		YDR152W
FUS3		YNR019W
FUS3		YFR039C
FUS3		YPR115W
FUS3		YEL050C
FUS3		YDR480W
FUS3		YBR259W
FUS3		YOL016C
FUS3		YMR186W
FUS3		YLR394W
FUS3		YNR050C
FUS3		YDR225W
GIN4		YDL225W
GIN4		YMR086W
GIN4		YLR345W
GIN4		YLR242C
GIN4		YKL093W
HAL5		YDL074C
HAL5		YHR201C
HAL5		YDR007W
HAL5		YGR051C
HAL5		YDR020C
HAL5		YCR099C
HAL5		YDR022C
HAL5		YML037C
HAL5		YPR013C
HAL5		YOL122C
HAL5		YHR056C
HAL5		YGL105W
HAL5		YMR165C
HAL5		YDL038C
HAL5		YBR108W
HAL5		YPR058W
HAL5		YGL134W
HAL5		YGR130C
HAL5		YOR210W
HAL5		YDL212W
HAL5		YNL116W
HAL5		YDR293C
HAL5		YOR292C
HAL5		YDL056W
HAL5		YPR160W
HAL5		YPR119W
HAL5		YAR007C
HRR25		YIL007C
HRR25		YLL008W
HRR25		YGR276C
HRR25		YJR125C
HRR25		YJR044C
HRR25		YGR167W
HRR25		YML035C
HRR25		YNL212W
HRR25		YOR187W
HRR25		YKL178C
HRR25		YLR003C
HRR25		YNL027W
HRR25		YKR090W
HRR25		YLR438W
HSL1		YNL202W
HSL1		YDL013W
HSL1		YJR096W
HSL1		YDR023W
HSL1		YJR089W
HSL1		YLR011W
HSL1		YML035C
HSL1		YNL007C
HSL1		YPR072W
HSL1		YMR165C
HSL1		YBR273C
HSL1		YOR239W
HSL1		YER036C
HSL1		YML042W
HSL1		YNR006W
HSL1		YGR121C
HSL1		YNL286W
HSL1		YNL272C
HSL1		YDR034C-C
HSL1		YMR285C
HSL1		YLL024C
HSL1		YHL021C
HSL1		YOL139C
HSL1		YKR048C
HSL1		YJR141W
HSL1		YDR398W
HSL1		YFL023W
HSL1		YBL064C
HSL1		YDR134C
HSL1		YBL024W
HSL1		YMR239C
HSL1		YBR169C
HSL1		YMR115W
HSL1		YBR118W
HSL1		YOR335C
HSL1		YER098W
HSL1		YMR155W
HSL1		YPL246C
HSL1		YOL125W
HSL1		YMR184W
HSL1		YBR285W
HSL1		YDL223C
HSL1		YNL077W
HSL1		YGL105W
HSL1		YMR229C
HSL1		YIL038C
HSL1		YLR195C
HSL1		YGR210C
HSL1		YOR168W
HSL1		YGL207W
HSL1		YPR137C-A
HSL1		YDL074C
HSL1		YKR071C
HSL1		YBR130C
HSL1		YKL152C
HSL1		YDL002C
HSL1		YBR155W
HSL1		YHL009C
HSL1		YNL136W
HSL1		YPL257W-A
HSL1		YOR252W
HSL1		YER122C
HSL1		YLL008W
HSL1		YNL064C
HSL1		YIL078W
HSL1		YGR276C
HSL1		YIL057C
IKS1		YHR185C
IKS1		YOL078W
IKS1		YDR023W
IKS1		YAR019C
IKS1		YGL245W
IKS1		YAL034W-A
IKS1		YOL125W
IKS1		YBL011W
IKS1		YKL096W-A
IKS1		YPR013C
IKS1		YML073C
IKS1		YML121W
IKS1		YFL063W
IME2		YPL254W
IME2		YDL006W
IME2		YGR240C
IME2		YDR292C
IME2		YPR032W
IME2		YER060W
IME2		YKL168C
IME2		YBR178W
IME2		YMR284W
IME2		YMR165C
IME2		YOR239W
IME2		YHL024W
IME2		YPR058W
IME2		YLR295C
IME2		YNL284C-A
IME2		YDR034C-C
IME2		YNL272C
IME2		YDL210W
IME2		YIL069C
IME2		YNL116W
IME2		YGL245W
IME2		YFL023W
IME2		YPL150W
IME2		YDL236W
IME2		YDL181W
IME2		YDR134C
IME2		YIL135C
IME2		YDL153C
IME2		YBR118W
IME2		YOR335C
IME2		YBL007C
IME2		YNL073W
IME2		YKR100C
IME2		YML037C
IME2		YOL104C
IME2		YPR013C
IME2		YDR411C
IME2		YMR229C
IME2		YBR086C
IME2		YJL108C
IME2		YAL028W
IME2		YNL074C
IME2		YNL186W
IME2		YNL245C
IME2		YBR108W
IME2		YGR126W
IME2		YPR067W
IME2		YLR457C
IME2		YGL207W
IME2		YGR130C
IME2		YLR221C
IME2		YDR059C
IME2		YBR130C
IME2		YNL027W
IME2		YML045W-A
IME2		YDR259C
IME2		YDL070W
IME2		YDR295C
IME2		YDL220C
IME2		YGL051W
IME2		YGR276C
IPL1		YHL013C
IPL1		YMR262W
IPL1		YNL007C
IPL1		YJL218W
IPL1		YJL080C
IPL1		YFL001W
IPL1		YKR048C
IPL1		YLR150W
IPL1		YKR009C
IPL1		YPL133C
IPL1		YIL091C
IPL1		YBR118W
IPL1		YOR335C
IPL1		YGL105W
IPL1		YLR003C
IPL1		YMR290C
IPL1		YBR155W
IPL1		YDL078C
IPL1		YBL055C
IPL1		YLR192C
IPL1		YML074C
IPL1		YDR120C
IPL1		YML042W
IPL1		YLL018C
IPL1		YPR115W
IPL1		YOR198C
IPL1		YBR222C
IPL1		YKL023W
IPL1		YIL156W
IPL1		YCR072C
IPL1		YHR090C
IPL1		YMR229C
IPL1		YER125W
IPL1		YMR004W
IRE1		YPL254W
IRE1		YLR410W-A
IRE1		YBL103C
IRE1		YDR023W
IRE1		YDL006W
IRE1		YMR295C
IRE1		YPL128C
IRE1		YPR156C
IRE1		YNL097C
IRE1		YPR032W
IRE1		YOR391C
IRE1		YLR429W
IRE1		YNL155W
IRE1		YBR178W
IRE1		YKL168C
IRE1		YMR165C
IRE1		YOR207C
IRE1		YER036C
IRE1		YHR114W
IRE1		YNR006W
IRE1		YNL284C-A
IRE1		YNL272C
IRE1		YDR034C-C
IRE1		YBR197C
IRE1		YDR533C
IRE1		YAR019C
IRE1		YPR091C
IRE1		YOL103W-A
IRE1		YGL245W
IRE1		YDR293C
IRE1		YJL051W
IRE1		YMR046C
IRE1		YNL065W
IRE1		YBL064C
IRE1		YPL150W
IRE1		YHL047C
IRE1		YDR134C
IRE1		YOR181W
IRE1		YNL192W
IRE1		YIL135C
IRE1		YMR239C
IRE1		YDL153C
IRE1		YMR140W
IRE1		YLR006C
IRE1		YBL007C
IRE1		YOR113W
IRE1		YJR187C
IRE1		YDR388W
IRE1		YDR120C
IRE1		YNR047W
IRE1		YPR158C-C
IRE1		YML037C
IRE1		YMR184W
IRE1		YBR285W
IRE1		YMR229C
IRE1		YLL043W
IRE1		YAL028W
IRE1		YJL108C
IRE1		YNL074C
IRE1		YBR108W
IRE1		YPR067W
IRE1		YDL186W
IRE1		YPR137C-A
IRE1		YDR328C
IRE1		YDR266C
IRE1		YML045W-A
IRE1		YOR107W
IRE1		YDR259C
IRE1		YLR257W
IRE1		YDL070W
IRE1		YPR198W
IRE1		YNL054W-A
IRE1		YPL257W-A
IRE1		YNL224C
IRE1		YER122C
IRE1		YOL082W
IRE1		YKR105C
IRE1		YER093C-A
IRE1		YOR162C
KCC4		YER064C
KCC4		YDR023W
KCC4		YPR013C
KCC4		YML096W
KCC4		YGR231C
KCC4		YGL245W
KCC4		YPR050C
KCC4		YAL034W-A
KIN1		YIL107C
KIN1		YCR073W-A
KIN1		YGR249W
KIN2		YJR056C
KIN2		YLR375W
KIN2		YER079W
KIN2		YGL035C
KIN2		YDR151C
KIN2		YIL063C
KIN2		YOR100C
KIN2		YJR032W
KIN2		YLR345W
KIN2		YGL035C
KIN2		YHR207C
KIN2		YNL054W
KIN2		YLR257W
KIN2		YKR100C
KIN2		YIL171W
KIN2		YDL203C
KIN2		YIL044C
KIN2		YER122C
KIN2		YOL082W
KIN2		YIL135C
KIN2		YNR039C
