ORF	Node	TF_amigo	TFA_amigo	TFR_amigo	PK_amigo	PP_amigo	BioGRID_PK	BioGRID_PP	Fasolo_KP	Fiedler_PK	Fiedler_PP	Parca_KP	Balaji_2006_TF	Balaji_2008_TF	Harbison_YPD_TF	Harbison_conds_TF	Horak_TF	workman_TF	YEASTRACT_bind_TF	YEASTRACT_expr_TFA	YEASTRACT_expr_TFR	STRING_TFA	STRING_TFR	Measured	Perturbations	Chua_TFKO	Chua_TFOE	Fiedler_KPKO	Goncalves_KPKOKP	Goncalves_KPKOTF	Holstege_2010_KO	Holstege_2014_KO	Luscombe_KP	Luscombe_TF	Zelezniak_KP	SGD_PK	SGD_PP	Amigo_PK	Amigo_PP	protein_type2	protein_type	TF	PP	PK	TR	TA	KP	protein_type0
YAL039C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL040C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL041W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL042C-A	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL042W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL043C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL043C-A	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL044C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL044W-A	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL045C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL046C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL047C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL048C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL049C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL051W	TFA	NA	IDA,IMP	NA	NA	NA	0	0	0	0	0	0	61	60	359	0	0	7	497	353	147	0	0	7	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	TFA	TF	1	0	0	0	1	0	TF
YAL053W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL054C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL055W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL056C-A	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL056W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL058C-A	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL058W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL059W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL060W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL061W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL062W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL063C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL064C-A	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL064W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL064W-B	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL065C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL066W	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
YAL067C	O	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O	O	0	0	0	0	0	0	O
