KP_reg	p.value	estimate	sign	KP
YHR030C	2.44188009298414e-13	0.00968282936678692	1	YAL009W
YHR071W	1.47336762253815e-09	0.00800597269655853	1	YAL009W
YHR076W	1.07656239323533e-11	0.00898185678457606	1	YAL009W
YHR079C	7.61422349273208e-07	0.00892504251890319	1	YAL009W
YHR082C	3.92859071775309e-10	0.00833441216150543	1	YAL009W
YHR135C	3.16534317237586e-11	0.00881472717393355	1	YAL009W
YIL035C	4.66159795407796e-12	0.00876948158281126	1	YAL009W
YIL042C	3.18767257234013e-09	0.00932142065803568	1	YAL009W
YIL095W	6.38964996714809e-11	0.00880756441034066	1	YAL009W
YIL113W	9.1781305606701e-11	0.00858454509335197	1	YAL009W
YIR026C	6.05967026628246e-09	0.00748893404901585	1	YAL009W
YJL057C	2.93786386350768e-10	0.00998437161281221	1	YAL009W
YJL095W	1.75431046265423e-11	0.00991822375563592	1	YAL009W
YJL106W	2.04664033539554e-12	0.0096822084564048	1	YAL009W
YJL128C	4.83544444246554e-13	0.0101074757021094	1	YAL009W
YJL141C	2.22949875045425e-09	0.00964872014107879	1	YAL009W
YJL164C	5.27713433217872e-12	0.010164624633215	1	YAL009W
YJL165C	4.72980085189822e-10	0.00838580773202049	1	YAL009W
YJL187C	7.32143862925844e-12	0.00981229531403035	1	YAL009W
YJR059W	2.74531635082856e-09	0.00898359045391726	1	YAL009W
YJR066W	9.23459682387413e-14	0.0106158855234516	1	YAL009W
YKL025C	5.84985983713485e-13	0.0133167705337526	1	YAL009W
YKL048C	4.01585659834662e-13	0.00956704337255881	1	YAL009W
YKL101W	7.47096945817104e-14	0.0106765419100255	1	YAL009W
YKL116C	5.53708650956123e-09	0.00866391678615585	1	YAL009W
YKL126W	5.49711398386677e-12	0.0098330528652983	1	YAL009W
YKL139W	9.7915410161822e-08	0.007905774032052	-1	YAL009W
YKL161C	2.29397598562452e-13	0.0111357027911654	1	YAL009W
YKL166C	7.14663210710411e-13	0.0107544971584689	1	YAL009W
YKL168C	2.53304685849099e-11	0.00848906057109183	1	YAL009W
YKL171W	2.01736080047268e-11	0.00923821195305252	1	YAL009W
YKL190W	8.71676251565642e-06	0.00644901479739131	1	YAL009W
YKL198C	2.03255220607299e-10	0.00827882580701258	1	YAL009W
YLL010C	8.05533949395008e-11	0.00830546274209576	1	YAL009W
YLL019C	3.30882399702997e-10	0.00868080972047043	1	YAL009W
YLR019W	1.17144427862652e-11	0.00892303940619741	1	YAL009W
YLR096W	1.27145259373759e-13	0.0104899502714847	1	YAL009W
YLR113W	3.84804667426669e-12	0.0100069448379426	1	YAL009W
YLR133W	1.65876400766738e-10	0.00829141591397051	1	YAL009W
YLR210W	4.6924445544427e-14	0.0114307828440107	1	YAL009W
YLR226W	1.31296735535842e-07	0.00820228735775612	1	YAL009W
YLR240W	1.31297238483928e-10	0.00857602870931723	1	YAL009W
YLR248W	2.42812871832551e-14	0.0103318789906874	1	YAL009W
YLR253W	3.10836705995981e-11	0.0105304329941036	1	YAL009W
