KP	Target	p
YAR018C	YGL237C	0.671864326555372
YAR018C	YGL252C	0.871357610999583
YAR018C	YGL254W	0.721835332012483
YAR018C	YGR044C	0.297980210428885
YAR018C	YGR067C	0.824303886064857
YAR018C	YGR089W	0.729241221302353
YAR018C	YGR097W	0.841328900502314
YAR018C	YGR249W	0.46833925427976
YAR018C	YGR288W	0.792552704795457
YAR018C	YHL009C	0.848836853056081
YAR018C	YHL020C	0.997055755380091
YAR018C	YHL027W	0.0433605101536637
YAR018C	YHR006W	0.999741850285608
YAR018C	YHR084W	0.000149558467458533
YAR018C	YHR124W	0.636388576102771
YAR018C	YHR178W	0.774859006610518
YAR018C	YHR206W	5.80815152684331e-12
YAR018C	YIL036W	0.995415923658778
YAR018C	YIL101C	0.000400929166765251
YAR018C	YIL119C	0.699412723407853
YAR018C	YIL122W	0.301618963878944
YAR018C	YIL128W	0.99490995400843
YAR018C	YIL131C	0.00515591064839046
YAR018C	YIR017C	0.897115454920196
YAR018C	YIR018W	0.841056618821899
YAR018C	YIR023W	0.0113698393566918
YAR018C	YIR033W	0.0843575572232856
YAR018C	YJL056C	0.941577829806966
YAR018C	YJL089W	0.555279720199073
YAR018C	YJL103C	0.19908289577212
YAR018C	YJL110C	0.990407170812335
YAR018C	YJL127C	0.966889654758093
YAR018C	YJL206C	0.993323134983722
YAR018C	YJR060W	0.107983788653434
YAR018C	YJR094C	0.891207696692673
YAR018C	YJR127C	0.955330925888113
YAR018C	YJR140C	0.725754872940991
YAR018C	YJR147W	0.974726858466635
YAR018C	YKL005C	0.973025744914436
YAR018C	YKL015W	0.151354612775486
YAR018C	YKL020C	0.186396351367007
YAR018C	YKL032C	0.610664759075073
YAR018C	YKL038W	0.813478611857922
YAR018C	YKL043W	0.067592170708393
YAR018C	YKL062W	0.0593164813174429
YAR018C	YKL072W	0.633702401143448
YAR018C	YKL109W	0.823677444490958
YAR018C	YKL112W	0.56375174685362
YAR018C	YKL185W	4.23323485393552e-09
YAR018C	YKL222C	0.97901495364466
YAR018C	YKR034W	0.87803307786164
YAR018C	YKR064W	0.648087422284305
YAR018C	YKR099W	0.87749881498657
YAR018C	YLR013W	0.98813717575377
YAR018C	YLR014C	0.876105471761977
YAR018C	YLR098C	0.921773313963431
YAR018C	YLR131C	0.010630771942258
YAR018C	YLR176C	0.879550618757672
YAR018C	YLR182W	0.000300673469396127
YAR018C	YLR183C	0.290488103462472
YAR018C	YLR228C	0.820378997320915
YAR018C	YLR256W	0.0129548136966467
YAR018C	YLR266C	0.299092216602521
YAR018C	YLR278C	0.589241030615132
YAR018C	YLR403W	0.836605490422703
YAR018C	YLR451W	0.889623314669678
YAR018C	YML007W	0.450746841170335
YAR018C	YML027W	0.131319731756193
YAR018C	YML051W	0.989850905795072
YAR018C	YML076C	0.668924497534687
YAR018C	YML081W	0.545432413618316
YAR018C	YML099C	0.787048008921586
YAR018C	YML113W	0.59577060213326
YAR018C	YMR016C	0.000288044020953027
YAR018C	YMR019W	0.52664377528087
YAR018C	YMR021C	0.904046318252733
YAR018C	YMR037C	4.30522600222672e-05
YAR018C	YMR042W	0.106977995144581
YAR018C	YMR043W	0.000422459140627541
YAR018C	YMR053C	0.992760181020138
YAR018C	YMR070W	0.808838864693745
YAR018C	YMR075W	0.579302018970051
YAR018C	YMR164C	0.429775551838161
YAR018C	YMR172W	0.014388286620412
YAR018C	YMR182C	0.950343155316078
YAR018C	YMR280C	0.050026723846195
YAR018C	YNL027W	0.978329459715149
YAR018C	YNL068C	2.63251828984769e-10
YAR018C	YNL139C	0.915538046991231
YAR018C	YNL167C	0.000151301277756151
YAR018C	YNL199C	0.406808781851648
YAR018C	YNL216W	0.00816399592766318
YAR018C	YNL257C	0.913328550674469
YAR018C	YNL309W	0.00708859907097437
YAR018C	YNL314W	0.271881497713288
YAR018C	YNR063W	0.779450658210333
YAR018C	YOL028C	0.726076807309416
YAR018C	YOL067C	0.964620998956232
YAR018C	YOL089C	0.764883694045973
YAR018C	YOL108C	1.00962011432706e-05
YAR018C	YOL116W	0.888860061220545
YAR018C	YOR028C	0.00135230379916223
YAR018C	YOR032C	0.849297124282084
YAR018C	YOR038C	0.824257880293407
YAR018C	YOR113W	0.0439823621147435
YAR018C	YOR140W	0.609957380222943
YAR018C	YOR162C	0.887628472821275
YAR018C	YOR229W	0.922604016295284
YAR018C	YOR230W	0.940518967022415
YAR018C	YOR337W	0.249287670864564
YAR018C	YOR344C	0.715436154608213
YAR018C	YOR358W	0.0577381905512662
YAR018C	YOR363C	0.715062062907929
YAR018C	YOR380W	0.816949457260264
YAR018C	YPL038W	0.985856774056681
YAR018C	YPL049C	0.54869345032719
YAR018C	YPL075W	0.983359898370816
YAR018C	YPL089C	0.0422352284480439
YAR018C	YPL133C	1.46233164402247e-08
YAR018C	YPL139C	0.98169063245793
YAR018C	YPL177C	0.495437266465965
YAR018C	YPL202C	0.532470060134903
YAR018C	YPL230W	0.916730346709016
YAR018C	YPL248C	0.984826583094866
YAR018C	YPR008W	0.90595794924624
YAR018C	YPR009W	0.702077199081646
YAR018C	YPR022C	0.541115120812651
YAR018C	YPR065W	0.0131032145785484
YAR018C	YPR196W	0.546564755563263
YAR018C	YPR199C	0.642699649846959
YBL009W	YAL051W	0.722765051106551
YBL009W	YBL005W	0.426144284862087
YBL009W	YBL008W	0.0914465805685184
YBL009W	YBL021C	0.986063842483466
YBL009W	YBL054W	0.323248996407309
YBL009W	YBL103C	0.748385950131764
YBL009W	YBR033W	0.936511394670952
YBL009W	YBR049C	0.836004828267149
YBL009W	YBR083W	0.997989236109242
YBL009W	YBR112C	0.169799312952342
YBL009W	YBR150C	0.518069394020601
YBL009W	YBR182C	0.0337432175985
YBL009W	YBR239C	0.946225979185006
YBL009W	YBR240C	0.965401358816974
YBL009W	YBR297W	0.896294631188829
YBL009W	YCL055W	0.744711116191435
YBL009W	YCR065W	0.222008002747517
YBL009W	YCR084C	0.0076994614748955
YBL009W	YCR106W	0.307183938226441
YBL009W	YDL020C	0.87893289882927
YBL009W	YDL048C	0.99338745572833
YBL009W	YDL056W	0.000351810543829321
YBL009W	YDL106C	0.0159190110369491
YBL009W	YDL170W	0.922573096278448
YBL009W	YDR009W	0.969348757121839
YBL009W	YDR026C	0.831189858416997
YBL009W	YDR034C	0.355966681610319
