TF	p.value	estimate	sign	KP
YDR146C	0.331981892663855	0.000625569730548602	1	YAL017W
YDR174W	0.564232887593816	-0.00290095137938743	-1	YAL017W
YDR207C	0.00109052871737474	0.00387813560565444	1	YAL017W
YDR213W	0.673286812633881	-0.000786029708379158	-1	YAL017W
YDR216W	0.812395920713044	-0.00103339097341092	1	YAL017W
YDR253C	0.000223285062499876	0.0049153731157042	1	YAL017W
YDR259C	4.25295241374014e-07	0.00580760995708177	-1	YAL017W
YDR266C	0.976888911121334	-0.00355081101820799	-1	YAL017W
YDR277C	0.0288765460028389	0.00244459446475541	1	YAL017W
YDR310C	0.950118507978796	-0.00283340284865622	-1	YAL017W
YDR421W	0.561609865993309	-0.000128088043714655	-1	YAL017W
YDR423C	0.00271623536505335	0.00462539543222676	-1	YAL017W
YDR451C	0.359745042353011	0.000478544662435809	-1	YAL017W
YDR463W	0.743704579488622	-0.000943514165494414	1	YAL017W
YDR501W	0.492185237175839	1.54806072819057e-05	1	YAL017W
YDR520C	0.669183277114129	-0.00107213549010482	1	YAL017W
YEL009C	0.00438010409844324	0.00311114050660201	1	YAL017W
YER028C	0.938975605714391	-0.00451795956653316	1	YAL017W
YER040W	0.806287860680044	-0.00129848416234925	1	YAL017W
YER045C	0.683289225102559	-0.00124369717445555	1	YAL017W
YER051W	0.639999295858387	-0.000583750888968677	-1	YAL017W
YER068W	0.85067817091203	-0.00175035994891463	-1	YAL017W
YER088C	0.00970378688162947	0.00547941939102163	1	YAL017W
YER109C	5.47123412185696e-05	0.00794694246596519	-1	YAL017W
YER111C	0.00244021957102571	0.00390127580331284	1	YAL017W
YER130C	0.898642566272533	-0.00190011202151992	-1	YAL017W
YER161C	0.599672420666359	-0.000454771451423575	-1	YAL017W
YER169W	0.70790735311315	-0.000886335886559561	1	YAL017W
YER184C	0.750648424911312	-0.00160071522012608	1	YAL017W
YFL021W	0.299354103772276	0.000900120806124668	1	YAL017W
YFL031W	0.986323503456012	-0.00459733820754581	-1	YAL017W
YFL044C	0.667171520277038	-0.000805332156076168	-1	YAL017W
YFL052W	0.567794671795313	-0.000234130965185824	-1	YAL017W
YFR034C	0.232619287945774	0.000930279645405816	-1	YAL017W
YGL013C	0.390916605371616	0.000325010736895018	-1	YAL017W
YGL035C	0.395032968960351	0.000366200116452438	-1	YAL017W
YGL071W	0.803074970506621	-0.00104085631457687	-1	YAL017W
YGL073W	4.47957751458406e-06	0.00646946830922167	1	YAL017W
YGL096W	0.67424222195174	-0.000475356942978682	1	YAL017W
YGL131C	0.784452602900031	-0.00164631648794019	-1	YAL017W
YGL162W	0.0532759138644078	0.00279561948937161	-1	YAL017W
YGL166W	0.406073399392538	0.00140023683548208	-1	YAL017W
YGL181W	0.922095911597548	-0.00234947250230104	-1	YAL017W
YGL192W	0.781793610562453	-0.00130231348682918	1	YAL017W
YGL197W	0.928970394611048	-0.00286079474319675	-1	YAL017W
YGL209W	0.988980537613959	-0.00396873215178162	1	YAL017W
YGL237C	0.568667338149635	-0.000191644948993507	1	YAL017W
YGL252C	0.66293177316171	-0.0110569602816778	1	YAL017W
YGL254W	0.993712317951559	-0.00412109808927858	-1	YAL017W
YGR044C	0.397044547721753	0.000415921446007629	-1	YAL017W
YGR067C	0.696319615161791	-0.000767644723644968	-1	YAL017W
YGR089W	0.394745383827504	0.00048995917993671	1	YAL017W
YGR097W	0.974885702445879	-0.00390426113525203	-1	YAL017W
YGR249W	0.327658429612389	0.000537093038596268	-1	YAL017W
YGR288W	0.780256230454925	-0.00165049871487436	1	YAL017W
YHL009C	0.676529541415571	-0.000801925228685999	-1	YAL017W
YHL020C	0.846681878055029	-0.00307013892834965	-1	YAL017W
YHL027W	0.162199473384381	0.00149151588058007	-1	YAL017W
YHR006W	0.80387581295378	-0.00156590619452273	-1	YAL017W
YHR084W	6.25885385741243e-07	0.00427816816107593	1	YAL017W
YHR124W	0.000160976247622909	0.00312591230454362	1	YAL017W
YHR178W	0.243769576993925	0.00107876864988301	1	YAL017W
YHR206W	9.32941060785016e-05	0.0045855582558884	1	YAL017W
YIL036W	0.955801803248651	-0.00298470566386504	1	YAL017W
YIL101C	0.00172833558627186	0.00387198926134343	1	YAL017W
YIL119C	0.711104282045758	-0.000906814116483823	-1	YAL017W
YIL122W	0.160828909864489	0.00161027654367077	-1	YAL017W
YIL128W	0.99904690571255	-0.0070771820672843	1	YAL017W
YIL131C	0.000377389348022801	0.00283051230866436	1	YAL017W
YIR017C	0.577283965199	-0.000367953426645233	-1	YAL017W
YIR018W	0.0154041771055729	0.00295971836283873	1	YAL017W
YIR023W	0.0521080825507306	0.00229978059632933	1	YAL017W
YIR033W	0.00808325615199878	0.0175221071274091	1	YAL017W
YJL056C	0.972665647437014	-0.00356767768367549	-1	YAL017W
YJL089W	0.718563107476435	-0.000992319254317431	-1	YAL017W
YJL103C	0.288317251168096	0.00467026111912983	1	YAL017W
YJL110C	0.991602777019422	-0.00403565171428717	-1	YAL017W
YJL127C	0.88479609885125	-0.00278794106291952	-1	YAL017W
YJL206C	0.946442894640611	-0.00216385663879722	-1	YAL017W
YJR060W	6.5786660269214e-06	0.00552046123877755	1	YAL017W
