systematicName,geneSymbol,"ctk1-del vs. wt","ctk1-del vs. wt","cak1-del vs. wt","cak1-del vs. wt",
YBR041W,FAT1,0.27909089,0.998,0.15652606,1,
YBR042C,CST26,0.095708421,1,-0.23376953,1,
YBR043C,QDR3,-0.01729002,1,0.33768826,0,
YBR044C,TCM62,-0.1490486,1,-0.2213406,1,
YBR045C,GIP1,0.89125585,0,0.85869719,0,
YBR046C,ZTA1,-0.80301785,0,0.44062271,0,
YBR047W,FMP23,-0.43774439,0.186,-0.091654363,1,
YBR048W,RPS11B,-0.26809907,0.945,-0.58826789,0,
YBR049C,REB1,-0.39983493,0.008,-0.74264414,1,
YBR050C,REG2,0.092816327,1,0.44601267,0,
YBR051W,YBR051W,-0.011506534,1,-0.024407963,1,
YBR052C,RFS1,-0.66110898,0,0.070691575,1,
YBR053C,YBR053C,-1.1279009,0,0.49389323,0,
YBR054W,YRO2,-0.92390067,0,0.32688245,0.006,
YBR055C,PRP6,0.24459484,1,0.03215728,1,
YBR056W,YBR056W,0.33165936,0.088,0.79152238,0,
YBR057C,MUM2,-0.12451244,1,0.19391049,0.972,
YBR058C,UBP14,-0.13615192,1,-0.17275166,1,
YBR058C-A,TSC3,-0.22527829,1,-0.21579757,1,
YBR059C,AKL1,-0.30377822,0.724,0.19148685,0.844,
YBR060C,ORC2,0.044282197,1,-0.57278432,0,
YBR061C,TRM7,-0.49445048,0.193,-0.49191013,0,
YBR062C,YBR062C,0.19367083,1,0.26070016,0.998,
YBR063C,YBR063C,-0.043317324,1,0.081939489,1,
YBR064W,YBR064W,0.015269186,1,-0.14285342,1,
YBR065C,ECM2,-0.31076347,0.378,0.14556008,1,
YBR066C,NRG2,0.088155169,1,0.60005086,0,
YBR067C,TIP1,0.86496066,0,0.79859803,0,
YBR068C,BAP2,0.42266359,0.003,-0.83351849,0,
YBR069C,TAT1,0.13139193,1,-0.57413469,0,
YBR070C,ALG14,-0.06552728,1,-0.75389842,0,
YBR071W,YBR071W,0.27074421,1,0.93144101,0,
YBR072W,HSP26,1.9923696,0,2.4687136,0,
YBR073W,RDH54,0.3879911,0.468,0.25334793,0.299,
YBR074W,YBR074W,-0.1815257,1,-0.32027715,0,
YBR074W,YBR074W,0.20749309,1,-0.11212852,1,
YBR076W,ECM8,-0.0082570446,1,0.26975132,0.024,
YBR077C,SLM4,-0.8793216,0,-0.37106407,0,
YBR078W,ECM33,-0.089735523,1,-0.036249201,1,
YBR079C,RPG1,-0.22072179,1,-0.55987912,0,
YBR080C,SEC18,-0.99191188,0,-0.024098394,1,
YBR081C,SPT7,0.32391188,0.275,-0.24253292,0.512,
YBR082C,UBC4,0.060047384,1,0.46176951,0,
YBR083W,TEC1,0.44047388,0.001,0.97448526,0,
YBL027W,RPL19B,-0.61943455,0,-0.69437028,0,
YBR084W,MIS1,-0.35190644,0.773,-0.62916615,0,
YBR085C-A,YBR085C-A,1.0174516,0,1.1643036,0,
YBR085W,AAC3,-0.3744583,0.016,-0.37028995,0.008,
YBR086C,IST2,-0.28059574,0.986,-0.37506626,0,
YBR087W,RFC5,-0.22014021,1,-0.44465501,0,
YBR088C,POL30,0.33290839,0.161,-0.46829965,0,
YBR089C-A,NHP6B,-0.20099229,1,-0.41912322,0,
