"List of kinase-kinase, phosphatase-phosphatase, and kinase-phosphatase pairs that share common substrates and for which the EMAP contained interaction scores.",,,,,
"For the sake of completion, known kinase and phosphatase regulators were also includedin this analysis.",,,,,
"Two kinases with one or more shared substrates",,,,,
"Kinase or regulator",,"Kinase or regulator",,Score,Relationship
YHR030C,SLT2,YGR109C,CLB6,0.562833,"Shared substrate"
YOL045W,PSK2,YGL134W,PCL10,0.396778,"Shared substrate"
YOL045W,PSK2,YDR477W,SNF1,-1.39013,"Shared substrate"
YPL140C,MKK2,YOL128C,YGK3,-0.326659,"Shared substrate"
YPL140C,MKK2,YJL128C,PBS2,-0.652802,"Shared substrate"
YPL140C,MKK2,YBL105C,PKC1,-0.160493,"Shared substrate"
YDR052C,DBF4,YPR119W,CLB2,0.358147,"Shared substrate"
YDR052C,DBF4,YPR120C,CLB5,0.21465,"Shared substrate"
YOL100W,PKH2,YMR104C,YPK2,-0.215125,"Shared substrate"
YOL100W,PKH2,YHR205W,SCH9,-3.53833,"Shared substrate"
YOL100W,PKH2,YKL203C,TOR2,0.805182,"Shared substrate"
YJL006C,CTK2,YPR025C,CCL1,-0.336437,"Shared substrate"
YML112W,CTK3,YPR025C,CCL1,-1.007468,"Shared substrate"
YOL001W,PHO80,YDL127W,PCL2,0.464427,"Shared substrate"
YOL001W,PHO80,YIL050W,PCL7,-1.011847,"Shared substrate"
YOL001W,PHO80,YDL179W,PCL9,0.045167,"Shared substrate"
YGR040W,KSS1,YHR135C,YCK1,-0.435141,"Shared substrate"
YGR040W,KSS1,YNL154C,YCK2,-0.132642,"Shared substrate"
YGR040W,KSS1,YAL040C,CLN3,0.459543,"Shared substrate"
YGR040W,KSS1,YPL256C,CLN2,-0.261873,"Shared substrate"
YGR040W,KSS1,YJL164C,TPK1,0.314819,"Shared substrate"
YGR040W,KSS1,YPL042C,SSN3,-0.717081,"Shared substrate"
YPL203W,TPK2,YHR135C,YCK1,-1.170462,"Shared substrate"
YPL203W,TPK2,YKL166C,TPK3,0.830913,"Shared substrate"
YJL106W,IME2,YBL088C,TEL1,0.93867,"Shared substrate"
YJL106W,IME2,YPL031C,PHO85,-0.4754,"Shared substrate"
YJL106W,IME2,YPR120C,CLB5,-0.206339,"Shared substrate"
YJL106W,IME2,YPL256C,CLN2,0.032514,"Shared substrate"
YJL106W,IME2,YBR135W,CKS1,-1.58505,"Shared substrate"
YJL106W,IME2,YMR139W,RIM11,-0.254632,"Shared substrate"
YJL106W,IME2,YNL289W,PCL1,-0.381955,"Shared substrate"
YJL106W,IME2,YDL127W,PCL2,-0.441014,"Shared substrate"
YJL106W,IME2,YBR136W,MEC1,1.189822,"Shared substrate"
YJL106W,IME2,YPL153C,RAD53,-0.461075,"Shared substrate"
YPL204W,HRR25,YPL031C,PHO85,0.348543,"Shared substrate"
YPL204W,HRR25,YHR135C,YCK1,-0.980925,"Shared substrate"
