"Table S3. Known phosphorylation/dephosphorylation events, assembled from the literature",,,,,,,,,
"Known kinase-substrate relationships",,,,,,,,,
Kinase,,Substrate,,"Type of interaction",,,,,
YKL101W,HSL1,YJL187C,SWE1,Phosphorylation,,,,,
YJL106W,IME2,YBR045C,GIP1,Phosphorylation,,,,,
YJL106W,IME2,YJR094C,IME1,Phosphorylation,,,,,
YJL106W,IME2,YHR124W,NDT80,Phosphorylation,,,,,
YJL106W,IME2,YNL312W,RFA2,Phosphorylation,,,,,
YJL106W,IME2,YMR190C,SGS1,Phosphorylation,,,,,
YJL106W,IME2,YLR079W,SIC1,Phosphorylation,,,,,
YJL106W,IME2,YDR310C,SUM1,Phosphorylation,,,,,
YJL106W,IME2,YGL003C,CDH1,Phosphorylation,,,,,
YJL106W,IME2,YFR028C,CDC14,Phosphorylation,,,,,
YJL106W,IME2,YDR113C,PDS1,Phosphorylation,,,,,
YJL106W,IME2,YJL194W,CDC6,Phosphorylation,,,,,
YJL106W,IME2,YDR130C,FIN1,Phosphorylation,,,,,
YJL106W,IME2,YDR146C,SWI5,Phosphorylation,,,,,
YPL209C,IPL1,YKL052C,ASK1,Phosphorylation,,,,,
YPL209C,IPL1,YKR037C,SPC34,Phosphorylation,,,,,
YPL209C,IPL1,YGR140W,CBF2,Phosphorylation,,,,,
YPL209C,IPL1,YMR168C,CEP3,Phosphorylation,,,,,
YPL209C,IPL1,YKL049C,CSE4,Phosphorylation,,,,,
YPL209C,IPL1,YGR113W,DAM1,Phosphorylation,,,,,
YPL209C,IPL1,YIR010W,DSN1,Phosphorylation,,,,,
YPL209C,IPL1,YBR010W,HHT1,Phosphorylation,,,,,
YPL209C,IPL1,YNL031C,HHT2,Phosphorylation,,,,,
YPL209C,IPL1,YJL013C,MAD3,Phosphorylation,,,,,
YPL209C,IPL1,YKL089W,MIF2,Phosphorylation,,,,,
YPL209C,IPL1,YIL144W,NDC80,Phosphorylation,,,,,
YPL209C,IPL1,YBR156C,SLI15,Phosphorylation,,,,,
YPL209C,IPL1,YDR325W,YCG1,Phosphorylation,,,,,
YDL108W,KIN28,YPL248C,GAL4,Phosphorylation,,,,,
YDL108W,KIN28,YOR174W,MED4,Phosphorylation,,,,,
YDL108W,KIN28,YDL140C,RPB1,Phosphorylation,,,,,
YDL108W,KIN28,YDL140C,RPO21,Phosphorylation,,,,,
YAR018C,KIN3,YIL144W,TID3,Phosphorylation,,,,,
YOR233W,KIN4,YJR053W,BFA1,Phosphorylation,,,,,
YOR233W,KIN4,YMR055C,BUB2,Phosphorylation,,,,,
YGR040W,KSS1,YLR310C,CDC25,Phosphorylation,,,,,
YGR040W,KSS1,YPL049C,DIG1,Phosphorylation,,,,,
YGR040W,KSS1,YDR480W,DIG2,Phosphorylation,,,,,
YGR040W,KSS1,YJL157C,FAR1,Phosphorylation,,,,,
YGR040W,KSS1,YLR452C,SST2,Phosphorylation,,,,,
YGR040W,KSS1,YHR084W,STE12,Phosphorylation,,,,,
YGR040W,KSS1,YKL178C,STE3,Phosphorylation,,,,,
YNL307C,MCK1,YIL033C,BCY1,Phosphorylation,,,,,
YNL307C,MCK1,YGR140W,CBF2,Phosphorylation,,,,,
YNL307C,MCK1,YKL101W,HSL1,Phosphorylation,,,,,
YNL307C,MCK1,YKL159C,RCN1,Phosphorylation,,,,,
YNL307C,MCK1,YDR207C,UME6,Phosphorylation,,,,,
YBR136W,MEC1,YBR274W,CHK1,Phosphorylation,,,,,
YBR136W,MEC1,YDL101C,DUN1,Phosphorylation,,,,,
YBR136W,MEC1,YHR154W,ESC4,Phosphorylation,,,,,
YBR136W,MEC1,YJL092W,HPR5,Phosphorylation,,,,,
YBR136W,MEC1,YDR499W,LCD1,Phosphorylation,,,,,
YBR136W,MEC1,YCL061C,MRC1,Phosphorylation,,,,,
YBR136W,MEC1,YBL051C,PIN4,Phosphorylation,,,,,
YBR136W,MEC1,YPL153C,RAD53,Phosphorylation,,,,,
YBR136W,MEC1,YDR076W,RAD55,Phosphorylation,,,,,
YBR136W,MEC1,YDR217C,RAD9,Phosphorylation,,,,,
YBR136W,MEC1,YLR176C,RFX1,Phosphorylation,,,,,
YBR136W,MEC1,YOR189W,IES4,Phosphorylation,,,,,
YBR136W,MEC1,YGL116W,CDC20,Phosphorylation,,,,,
YBR136W,MEC1,YLR135W,SLX4,Phosphorylation,,,,,
YBR136W,MEC1,YLR265C,NEJ1,Phosphorylation,,,,,
YBR136W,MEC1,YAR007C,RFA1,Phosphorylation,,,,,
YBR136W,MEC1,YNL312W,RFA2,Phosphorylation,,,,,
YBR136W,MEC1,YER169W,RPH1,Phosphorylation,,,,,
YBR136W,MEC1,YGL175C,SAE2,Phosphorylation,,,,,
YOR351C,MEK1,YPL194W,DDC1,Phosphorylation,,,,,
YOR351C,MEK1,YDR225W,HTA1,Phosphorylation,,,,,
YOR351C,MEK1,YLR263W,RED1,Phosphorylation,,,,,
YOR231W,MKK1,YGR097W,ASK10,Phosphorylation,,,,,
YOR231W,MKK1,YHR030C,SLT2,Phosphorylation,,,,,
YPL140C,MKK2,YGR097W,ASK10,Phosphorylation,,,,,
YPL140C,MKK2,YHR030C,SLT2,Phosphorylation,,,,,
YDL028C,MPS1,YGR113W,DAM1,Phosphorylation,,,,,
YDL028C,MPS1,YGL086W,MAD1,Phosphorylation,,,,,
YDL028C,MPS1,YIL106W,MOB1,Phosphorylation,,,,,
YDL028C,MPS1,YDR356W,SPC110,Phosphorylation,,,,,
YDL028C,MPS1,YKL042W,SPC42,Phosphorylation,,,,,
YDL028C,MPS1,YNL126W,SPC98,Phosphorylation,,,,,
YDL079C,MRK1,YGL144C,ROG1,Phosphorylation,,,,,
YDL079C,MRK1,YDR207C,UME6,Phosphorylation,,,,,
YNL183C,NPR1,YKR039W,GAP1,Phosphorylation,,,,,
YJL128C,PBS2,YLR113W,HOG1,Phosphorylation,,,,,
YJL128C,PBS2,YHR030C,SLT2,Phosphorylation,,,,,
YPL031C,PHO85,YKL185W,ASH1,Phosphorylation,,,,,
YPL031C,PHO85,YNL027W,CRZ1,Phosphorylation,,,,,
YPL031C,PHO85,YEL009C,GCN4,Phosphorylation,,,,,
YPL031C,PHO85,YMR311C,GLC8,Phosphorylation,,,,,
YPL031C,PHO85,YPR160W,GPH1,Phosphorylation,,,,,
YPL031C,PHO85,YFR015C,GSY1,Phosphorylation,,,,,
YPL031C,PHO85,YLR258W,GSY2,Phosphorylation,,,,,
YPL031C,PHO85,YOR171C,LCB4,Phosphorylation,,,,,
YPL031C,PHO85,YLR190W,MMR1,Phosphorylation,,,,,
YPL031C,PHO85,YFR034C,PHO4,Phosphorylation,,,,,
YPL031C,PHO85,YOL001W,PHO80,Phosphorylation,,,,,
YPL031C,PHO85,YOR348C,PUT4,Phosphorylation,,,,,
YPL031C,PHO85,YFL033C,RIM15,Phosphorylation,,,,,
YPL031C,PHO85,YDR388W,RVS167,Phosphorylation,,,,,
YPL031C,PHO85,YLR079W,SIC1,Phosphorylation,,,,,
YPL031C,PHO85,YAL041W,CDC24,Phosphorylation,,,,,
YPL031C,PHO85,YDR146C,SWI5,Phosphorylation,,,,,
YPL031C,PHO85,YJL084C,YJL084C,Phosphorylation,,,,,
YBL105C,PKC1,YJL095W,BCK1,Phosphorylation,,,,,
YBL105C,PKC1,YBR023C,CHS3,Phosphorylation,,,,,
YBL105C,PKC1,YLR133W,CKI1,Phosphorylation,,,,,
YBL105C,PKC1,YHL020C,OPI1,Phosphorylation,,,,,
YBL105C,PKC1,YHR030C,SLT2,Phosphorylation,,,,,
YBL105C,PKC1,YDR356W,SPC110,Phosphorylation,,,,,
YBL105C,PKC1,YLL028W,TPO1,Phosphorylation,,,,,
YBL105C,PKC1,YBL039C,URA7,Phosphorylation,,,,,
YDR490C,PKH1,YPL004C,LSP1,Phosphorylation,,,,,
YDR490C,PKH1,YGR086C,PIL1,Phosphorylation,,,,,
YDR490C,PKH1,YBL105C,PKC1,Phosphorylation,,,,,
YDR490C,PKH1,YHR205W,SCH9,Phosphorylation,,,,,
YDR490C,PKH1,YKL126W,YPK1,Phosphorylation,,,,,
YDR490C,"PKH1 ",YMR104C,YPK2,Phosphorylation,,,,,
YOL100W,PKH2,YPL004C,LSP1,Phosphorylation,,,,,
YOL100W,PKH2,YMR109W,MYO5,Phosphorylation,,,,,
YOL100W,PKH2,YGR086C,PIL1,Phosphorylation,,,,,
YOL100W,PKH2,YBL105C,PKC1,Phosphorylation,,,,,
YOL100W,PKH2,YHR205W,SCH9,Phosphorylation,,,,,
YOL100W,PKH2,YKL126W,YPK1,Phosphorylation,,,,,
YOL100W,PKH2,YMR104C,YPK2,Phosphorylation,,,,,
YIL095W,PRK1,YDL161W,ENT1,Phosphorylation,,,,,
YIL095W,PRK1,YLR206W,ENT2,Phosphorylation,,,,,
YIL095W,PRK1,YIR006C,PAN1,Phosphorylation,,,,,
YIL095W,PRK1,YOR329C,SCD5,Phosphorylation,,,,,
YIL095W,PRK1,YBL007C,SLA1,Phosphorylation,,,,,
YIL095W,PRK1,YHR161C,YAP1801,Phosphorylation,,,,,
YOL045W,PSK2,YOR276W,CAF20,Phosphorylation,,,,,
YOL045W,PSK2,YLR258W,GSY2,Phosphorylation,,,,,
YOL045W,PSK2,YCL037C,SRO9,Phosphorylation,,,,,
YOL045W,PSK2,YMR260C,TIF11,Phosphorylation,,,,,
YOL045W,PSK2,YKL035W,UGP1,Phosphorylation,,,,,
YJR059W,PTK2,YHL016C,DUR3,Phosphorylation,,,,,
YJR059W,PTK2,YGL008C,PMA1,Phosphorylation,,,,,
YPL153C,RAD53,YJL115W,ASF1,Phosphorylation,,,,,
YPL153C,RAD53,YDL017W,CDC7,Phosphorylation,,,,,
YPL153C,RAD53,YDL101C,DUN1,Phosphorylation,,,,,
YPL153C,RAD53,YJL092W,HPR5,Phosphorylation,,,,,
YPL153C,RAD53,YCL061C,MRC1,Phosphorylation,,,,,
YPL153C,RAD53,YDR076W,RAD55,Phosphorylation,,,,,
YPL153C,RAD53,YDR052C,DBF4,Phosphorylation,,,,,
YPL153C,RAD53,YNL312W,RFA2,Phosphorylation,,,,,
YPL153C,RAD53,YER169W,RPH1,Phosphorylation,,,,,
YPL153C,RAD53,YHR154W,RTT107,Phosphorylation,,,,,
YPL153C,RAD53,YPL153C,SPK1,Phosphorylation,,,,,
YPL153C,RAD53,YLR182W,SWI6,Phosphorylation,,,,,
YLR248W,RCK2,YOR133W,EFT1,Phosphorylation,,,,,
YLR248W,RCK2,YDR385W,EFT2,Phosphorylation,,,,,
YMR139W,RIM11,YJR094C,IME1,Phosphorylation,,,,,
YMR139W,RIM11,YGL144C,ROG1,Phosphorylation,,,,,
YMR139W,RIM11,YCL032W,STE50,Phosphorylation,,,,,
YMR139W,RIM11,YDR207C,UME6,Phosphorylation,,,,,
YFL033C,RIM15,YDR207C,UME6,Phosphorylation,,,,,
YER129W,SAK1,YER027C,GAL83,Phosphorylation,,,,,
YER129W,SAK1,YDR028C,REG1,Phosphorylation,,,,,
YER129W,SAK1,YGL208W,SIP2,Phosphorylation,,,,,
YER129W,SAK1,YDR477W,SNF1,Phosphorylation,,,,,
YHR205W,SCH9,YPL004C,LSP1,Phosphorylation,,,,,
YHR205W,SCH9,YGR086C,PIL1,Phosphorylation,,,,,
YPR161C,SGV1,YDL140C,RPO21,Phosphorylation,,,,,
YMR216C,SKY1,YNL004W,HRB1,Phosphorylation,,,,,
YMR216C,SKY1,YDR432W,NPL3,Phosphorylation,,,,,
YIL147C,SLN1,YLR006C,SSK1,Phosphorylation,,,,,
YIL147C,SLN1,YHR206W,SKN7,Phosphorylation,,,,,
YIL147C,SLN1,YDL235C,YPD1,Phosphorylation,,,,,
YHR030C,SLT2,YNL053W,MSG5,Phosphorylation,,,,,
YHR030C,SLT2,YPL089C,RLM1,Phosphorylation,,,,,
YHR030C,SLT2,YLR442C,SIR3,Phosphorylation,,,,,
YHR030C,SLT2,YER111C,SWI4,Phosphorylation,,,,,
YHR030C,SLT2,YLR182W,SWI6,Phosphorylation,,,,,
YDR477W,SNF1,YNR016C,ACC1,Phosphorylation,,,,,
YDR477W,SNF1,YNR016C,FAS3,Phosphorylation,,,,,
YDR477W,SNF1,YER027C,GAL83,Phosphorylation,,,,,
YDR477W,SNF1,YGR252W,GCN5,Phosphorylation,,,,,
YDR477W,SNF1,YER040W,GLN3,Phosphorylation,,,,,
YDR477W,SNF1,YLR258W,GSY2,Phosphorylation,,,,,
YDR477W,SNF1,YBR010W,HHT1,Phosphorylation,,,,,
YDR477W,SNF1,YNL031C,HHT2,Phosphorylation,,,,,
YDR477W,SNF1,YGL073W,HSF1,Phosphorylation,,,,,
YDR477W,SNF1,YGL035C,MIG1,Phosphorylation,,,,,
YDR477W,SNF1,YER028C,MIG3,Phosphorylation,,,,,
