"List of most positive genetic interactions between proteins phosphatases and protein kinases.",,,,,,,,,,
"The kinase of interest (column A/B) is followed by the most positive genetic interaction score it has with a protein phosphatase (score: column C, kinase: column D/E), then the second most higherst score, then the third most highest score.",,,,,,,,,,
"Protein kinases","Protein kinase","highest score","highest score","highest score",2nd,2nd,2nd,3rd,3rd,3rd
ORF,"Gene name",score,ORF,gene,score,ORF,gene,score,ORF,gene
YLR113W,HOG1,2.6328,YDL006W,PTC1,1.3982,YNR032W,PPG1,1.3482,YML016C,PPZ1
YLR248W,RCK2,1.8584,YNL099C,OCA1,1.8577,YKR028W,SAP190,1.7834,YCR095C,YCR095C
YMR001C,CDC5,2.8715,YDR028C,REG1,1.8658,YDR475C,JIP4,1.5496,YPL152W,RRD2
YMR104C,YPK2,1.556,YPL228W,CET1,1.4353,YDR475C,JIP4,1.3404,YOR227W,YOR227W
YMR139W,RIM11,1.3418,YHL029C,YHL029C,1.1978,YNL099C,OCA1,0.9701,YIL113W,SDP1
YMR216C,SKY1,2.6264,YNL233W,BNI4,2.2311,YGL190C,CDC55,1.7582,YLL010C,PSR1
YMR291W,YMR291W,2.0903,YDR028C,REG1,1.9584,YKL193C,SDS22,1.3721,YGL190C,CDC55
YNL020C,ARK1,3.1491,YDL047W,SIT4,1.4717,YNL099C,OCA1,1.3839,YPL228W,CET1
YNL154C,YCK2,0.8147,YOR090C,PTC5,0.7785,YNL056W,YNL056W,0.7363,YMR277W,FCP1
YNL183C,NPR1,1.8421,YML016C,PPZ1,1.4945,YMR036C,MIH1,1.431,YPL228W,CET1
YNL207W,RIO2,0.9892,YCR095C,YCR095C,0.9117,YLR019W,PSR2,0.8831,YNL056W,YNL056W
YNL298W,CLA4,3.4144,YNR032W,PPG1,2.8727,YHL029C,YHL029C,2.3959,YNL032W,SIW14
YNR031C,SSK2,2.0808,YDL006W,PTC1,1.3127,YKR019C,IRS4,1.118,YCR079W,YCR079W
YNR047W,YNR047W,1.6497,YNL233W,BNI4,1.5971,YER089C,PTC2,1.4842,YDL006W,PTC1
YOL016C,CMK2,2.0263,YNL099C,OCA1,1.4693,YML109W,ZDS2,1.3613,YPL179W,PPQ1
YOL045W,PSK2,3.4381,YGL190C,CDC55,2.202,YHL029C,YHL029C,1.6167,YMR277W,FCP1
YOL100W,PKH2,1.4814,YJL098W,SAP185,1.3435,YBL056W,PTC3,1.0896,YKL190W,CNB1
YOL113W,SKM1,2.3045,YGL190C,CDC55,1.9907,YER089C,PTC2,1.7472,YML109W,ZDS2
YOL128C,YGK3,1.1082,YJL083W,TAX4,0.9423,YPR073C,LTP1,0.8965,YLR433C,CNA1
YOR061W,CKA2,1.8957,YCR079W,YCR079W,1.7729,YMR311C,GLC8,1.441,YER134C,YER134C
YOR119C,RIO1,1.0656,YIL153W,RRD1,0.8869,YNL201C,PSY2,0.8835,YIR026C,YVH1
YOR233W,KIN4,1.334,YML016C,PPZ1,1.283,YNL032W,SIW14,1.2493,YDR435C,PPM1
YOR267C,HRK1,3.1754,YKR028W,SAP190,1.7853,YMR261C,TPS3,1.575,YFR040W,SAP155
YOR351C,MEK1,1.3518,YMR277W,FCP1,1.3378,YGR161C,RTS3,1.2621,YHR075C,PPE1
YPL026C,SKS1,3.2268,YGL190C,CDC55,1.4861,YOR090C,PTC5,1.2362,YBL056W,PTC3
YPL031C,PHO85,1.2452,YBL056W,PTC3,1.0947,YNL217W,YNL217W,0.9851,YBR125C,PTC4
YPL042C,SSN3,3.4977,YMR120C,ADE17,2.5434,YDL047W,SIT4,2.1506,YNL201C,PSY2
YPL109C,YPL109C,2.8631,YGL190C,CDC55,2.1704,YNL099C,OCA1,1.5228,YMR261C,TPS3
YPL141C,YPL141C,2.4737,YGL190C,CDC55,1.9641,YMR277W,FCP1,1.3907,YGR203W,YGR203W
YPL150W,YPL150W,1.6255,YDL047W,SIT4,1.2096,YER134C,YER134C,1.1987,YOR014W,RTS1
YPL153C,RAD53,3.3,YDR028C,REG1,1.0966,YOR208W,PTP2,1.0047,YML057W,CMP2
YPL203W,TPK2,3.779,YNL099C,OCA1,1.135,YPR073C,LTP1,1.0836,YDR028C,REG1
YPL204W,HRR25,1.0981,YDR067C,YDR067C,1.0848,YER075C,PTP3,0.8243,YMR273C,ZDS1
YPL209C,IPL1,1.7301,YBL056W,PTC3,1.6155,YNR034W,SOL1,1.4625,YDR067C,YDR067C
YPL236C,YPL236C,1.496,YBR125C,PTC4,1.2186,YMR277W,FCP1,1.0857,YML016C,PPZ1
YPR054W,SMK1,2.4116,YNL053W,MSG5,1.4433,YFR040W,SAP155,1.3826,YDL188C,PPH22
YPR106W,ISR1,2.715,YFR040W,SAP155,2.4923,YDR028C,REG1,2.3427,YNL099C,OCA1
YPR111W,DBF20,3.013,YDR293C,SSD1,0.9156,YLR019W,PSR2,0.9028,YPL228W,CET1
YPR161C,SGV1,1.367,YGR161C,RTS3,1.1632,YNL032W,SIW14,1.1227,YDL188C,PPH22
YDL028C,MPS1,1.7262,YDR075W,PPH3,1.5549,YFR040W,SAP155,1.3694,YKR019C,IRS4
YJL128C,PBS2,2.9873,YDL006W,PTC1,2.5387,YDR293C,SSD1,1.7552,YOR208W,PTP2
YLL019C,KNS1,3.5183,YGL190C,CDC55,2.5,YPL179W,PPQ1,1.8829,YAR014C,BUD14
YNL307C,MCK1,2.1539,YOR014W,RTS1,2.0566,YDR028C,REG1,1.4647,YMR311C,GLC8
YOR231W,MKK1,2.8718,YDL006W,PTC1,1.7073,YDL047W,SIT4,1.6352,YKL190W,CNB1
YPL140C,MKK2,1.9744,YOR014W,RTS1,1.8961,YGR161C,RTS3,1.4767,YNL053W,MSG5
