P	Target	Mode
YPL042C	YDL005C	kinase
YDL108W	YOR174W	kinase
YPR025C	YOR174W	kinase
YBR136W	YPL023C	kinase
YBL088C	YPL023C	kinase
YBR160W	YIL046W	kinase
YDL028C	YKL089W	kinase
YPL209C	YKL089W	kinase
YBR160W	YKL089W	kinase
YDR477W	YGL035C	kinase
YBR160W	YGL035C	kinase
YPR119W	YGL035C	kinase
YBR160W	YMR036C	kinase
YHR030C	YPL140C	kinase
YPL141C	YNL076W	kinase
YBR160W	YNL074C	kinase
YPR119W	YNL074C	kinase
YPL042C	YNL074C	kinase
YKL126W	YNL074C	kinase
YGR262C	YNL074C	kinase
YKL198C	YNL074C	kinase
YBR136W	YMR167W	kinase
YBL088C	YMR167W	kinase
YDL101C	YKR095W	kinase
YBR160W	YKR095W	kinase
YPL153C	YKR095W	kinase
YDL028C	YIL149C	kinase
YBR160W	YLL061W	kinase
YBR160W	YLR190W	kinase
YBR160W	YIL106W	kinase
YPR119W	YIL106W	kinase
YBR160W	YFL034C-B	kinase
YBR160W	YPL082C	kinase
YKL198C	YJR002W	kinase
YDR477W	YNR024W	kinase
YBR136W	YCL061C	kinase
YBL088C	YCL061C	kinase
YPL153C	YCL061C	kinase
YKL126W	YDR033W	kinase
YDL047W	YDR033W	phosphatase
YOL045W	YDR033W	kinase
YDL101C	YKL142W	kinase
YBR160W	YOR066W	kinase
YBR160W	YKR077W	kinase
YBR160W	YLR219W	kinase
YBR160W	YDR097C	kinase
YBR136W	YDR097C	kinase
YBL088C	YDR097C	kinase
YPR119W	YDR097C	kinase
YBR160W	YLR116W	kinase
YDR477W	YMR037C	kinase
YER133W	YMR037C	phosphatase
YDR028C	YMR037C	phosphatase
YBR160W	YKL062W	kinase
YKL139W	YKL062W	kinase
YKL198C	YDR208W	kinase
YBR160W	YAR033W	kinase
YGR203W	YJL123C	phosphatase
YBR160W	YPL070W	kinase
YPR119W	YPL070W	kinase
YMR104C	YMR109W	kinase
YHR030C	YGL122C	kinase
YJR059W	YKR048C	kinase
YIL035C	YKR048C	kinase
YOR061W	YKR048C	kinase
YGL019W	YKR048C	kinase
YOR039W	YKR048C	kinase
YDL230W	YOL070C	phosphatase
YPL042C	YOL070C	kinase
YBR160W	YOL070C	kinase
YBR160W	YLR457C	kinase
YDL134C	YLR457C	phosphatase
YIL035C	YDR397C	kinase
YOR061W	YDR397C	kinase
YGL019W	YDR397C	kinase
YOR039W	YDR397C	kinase
YPL140C	YBL024W	kinase
YBR160W	YBL024W	kinase
YBR160W	YOR372C	kinase
YPR119W	YOR372C	kinase
YBR136W	YOR372C	kinase
YBL088C	YOR372C	kinase
YDL101C	YLR265C	kinase
YMR001C	YJL076W	kinase
YBR160W	YJL076W	kinase
YPR119W	YJL076W	kinase
YPL153C	YJL076W	kinase
YBL088C	YMR309C	kinase
YBR136W	YNL123W	kinase
YBL088C	YNL123W	kinase
YBR160W	YOR056C	kinase
YKL198C	YPL043W	kinase
YPL031C	YIL038C	kinase
YBR160W	YPR072W	kinase
YDL101C	YDR432W	kinase
YOR231W	YDR432W	kinase
YMR139W	YDR432W	kinase
YMR216C	YDR432W	kinase
YNL183C	YNL183C	kinase
YJR066W	YNL183C	kinase
YIL035C	YDR043C	kinase
YOR061W	YDR043C	kinase
YGL019W	YDR043C	kinase
YOR039W	YDR043C	kinase
YKL126W	YNL156C	kinase
YDL028C	YPL233W	kinase
YPL153C	YJL041W	kinase
YBR160W	YML059C	kinase
YJL164C	YDR001C	kinase
YBR160W	YDR001C	kinase
YPL153C	YER006W	kinase
YBR160W	YOR098C	kinase
YPL153C	YOR098C	kinase
YDL101C	YIL115C	kinase
YBR160W	YIL115C	kinase
YPR119W	YIL115C	kinase
YNL307C	YLR335W	kinase
YPL153C	YLR335W	kinase
YDL230W	YLR335W	phosphatase
YBL009W	YLR335W	kinase
YBR136W	YLR335W	kinase
YBL088C	YLR335W	kinase
YBR160W	YMR153W	kinase
YKL198C	YAR002W	kinase
YBR160W	YAR002W	kinase
YPR119W	YAR002W	kinase
YPL153C	YAR002W	kinase
YBR160W	YDL089W	kinase
YPR119W	YDL089W	kinase
YDR477W	YHR195W	kinase
YBR160W	YHR195W	kinase
YBR160W	YPR091C	kinase
YBR160W	YHL029C	kinase
YPR119W	YHL029C	kinase
YDL028C	YGR179C	kinase
YDL188C	YIL136W	phosphatase
YBL105C	YHL020C	kinase
YJL164C	YHL020C	kinase
YIL035C	YHL020C	kinase
YOR061W	YHL020C	kinase
YGL019W	YHL020C	kinase
YOR039W	YHL020C	kinase
YNL154C	YPR075C	kinase
YHR135C	YPR075C	kinase
YBR160W	YML065W	kinase
YBR160W	YBR060C	kinase
YPR120C	YBR060C	kinase
YFR028C	YBR060C	phosphatase
YBR160W	YPR162C	kinase
YBR160W	YHR118C	kinase
YPR120C	YHR118C	kinase
YFR028C	YHR118C	phosphatase
YDR477W	YHR073W	kinase
YHR004C	YMR165C	phosphatase
YAL009W	YMR165C	phosphatase
YBR160W	YMR165C	kinase
YBR160W	YDR348C	kinase
YDL134C	YDR348C	phosphatase
YIL095W	YIR006C	kinase
YPL031C	YDL173W	kinase
YBR097W	YDL173W	kinase
YGR203W	YDL173W	phosphatase
YBR160W	YDL173W	kinase
YPR119W	YDL173W	kinase
YBR160W	YGR178C	kinase
YPR119W	YGR178C	kinase
YDL230W	YBR233W	phosphatase
YPL031C	YHR071W	kinase
YOR231W	YGR202C	kinase
YIL042C	YER178W	kinase
YGL059W	YER178W	kinase
YJL164C	YGL248W	kinase
YDL047W	YPL058C	phosphatase
YDR477W	YOR153W	kinase
YBR274W	YDR113C	kinase
YBR160W	YDR113C	kinase
YBR160W	YER149C	kinase
YIL035C	YDL065C	kinase
YBR136W	YGR240C	kinase
YBL088C	YGR240C	kinase
YDR477W	YMR205C	kinase
YBL105C	YMR205C	kinase
YJL164C	YIL107C	kinase
YPL141C	YKL127W	kinase
YPL153C	YMR105C	kinase
YBR160W	YDL106C	kinase
YPL031C	YFR034C	kinase
YOL001W	YFR034C	kinase
YDL047W	YDR481C	phosphatase
YPL031C	YOL001W	kinase
YOL001W	YOL001W	kinase
YPL153C	YGR233C	kinase
YPL042C	YML123C	kinase
YKL126W	YML123C	kinase
YPL179W	YML123C	phosphatase
YBR160W	YML123C	kinase
YPR119W	YML123C	kinase
YDL188C	YOR386W	phosphatase
YBR160W	YLR273C	kinase
YBR160W	YBL051C	kinase
YDL047W	YBL051C	phosphatase
YDR490C	YBL105C	kinase
YOL100W	YBL105C	kinase
YJR059W	YDR466W	kinase
YPL153C	YDR501W	kinase
YNL154C	YGL008C	kinase
YHR135C	YGL008C	kinase
YJR059W	YGL008C	kinase
YBR160W	YIL122W	kinase
YPR119W	YIL122W	kinase
YBR160W	YNL102W	kinase
YPL153C	YNL102W	kinase
YBR160W	YBL035C	kinase
YBR136W	YJR006W	kinase
YBL088C	YJR006W	kinase
YBR160W	YLR018C	kinase
YPR119W	YLR018C	kinase
YJL141C	YNR052C	kinase
YBR160W	YIL114C	kinase
YNL099C	YML016C	phosphatase
YBR160W	YML016C	kinase
YPR119W	YML016C	kinase
