P	Target
YBR160W	YLR116W
YDR477W	YMR037C
YER133W	YMR037C
YDR028C	YMR037C
YBR160W	YKL062W
YKL139W	YKL062W
YKL198C	YDR208W
YBR160W	YAR033W
YGR203W	YJL123C
YBR160W	YPL070W
YPR119W	YPL070W
YMR104C	YMR109W
YHR030C	YGL122C
YJR059W	YKR048C
YIL035C	YKR048C
YOR061W	YKR048C
YGL019W	YKR048C
YOR039W	YKR048C
YDL230W	YOL070C
YPL042C	YOL070C
YBR160W	YOL070C
YBR160W	YLR457C
YDL134C	YLR457C
YIL035C	YDR397C
YOR061W	YDR397C
YGL019W	YDR397C
YOR039W	YDR397C
YPL140C	YBL024W
YBR160W	YBL024W
YBR160W	YOR372C
YPR119W	YOR372C
YBR136W	YOR372C
YBL088C	YOR372C
YDL101C	YLR265C
YMR001C	YJL076W
YBR160W	YJL076W
YPR119W	YJL076W
YPL153C	YJL076W
YBL088C	YMR309C
YBR136W	YNL123W
YBL088C	YNL123W
YBR160W	YOR056C
YKL198C	YPL043W
YPL031C	YIL038C
YBR160W	YPR072W
YDL101C	YDR432W
YOR231W	YDR432W
YMR139W	YDR432W
YMR216C	YDR432W
YNL183C	YNL183C
YJR066W	YNL183C
YIL035C	YDR043C
YOR061W	YDR043C
YGL019W	YDR043C
YOR039W	YDR043C
YKL126W	YNL156C
YDL028C	YPL233W
YPL153C	YJL041W
YBR160W	YML059C
YJL164C	YDR001C
YBR160W	YDR001C
YPL153C	YER006W
YBR160W	YOR098C
YPL153C	YOR098C
YDL101C	YIL115C
YBR160W	YIL115C
YPR119W	YIL115C
YNL307C	YLR335W
YPL153C	YLR335W
YDL230W	YLR335W
YBL009W	YLR335W
YBR136W	YLR335W
YBL088C	YLR335W
YBR160W	YMR153W
YKL198C	YAR002W
YBR160W	YAR002W
YPR119W	YAR002W
YPL153C	YAR002W
YBR160W	YDL089W
YPR119W	YDL089W
YDR477W	YHR195W
YBR160W	YHR195W
YBR160W	YPR091C
YBR160W	YHL029C
YPR119W	YHL029C
YDL028C	YGR179C
YDL188C	YIL136W
YBL105C	YHL020C
YJL164C	YHL020C
YIL035C	YHL020C
YOR061W	YHL020C
YGL019W	YHL020C
YOR039W	YHL020C
YNL154C	YPR075C
YHR135C	YPR075C
YBR160W	YML065W
YBR160W	YBR060C
YPR120C	YBR060C
YFR028C	YBR060C
YBR160W	YPR162C
YBR160W	YHR118C
YPR120C	YHR118C
YFR028C	YHR118C
YDR477W	YHR073W
YHR004C	YMR165C
YAL009W	YMR165C
YBR160W	YMR165C
YBR160W	YDR348C
YDL134C	YDR348C
YIL095W	YIR006C
YPL031C	YDL173W
YBR097W	YDL173W
YGR203W	YDL173W
YBR160W	YDL173W
YPR119W	YDL173W
YBR160W	YGR178C
YPR119W	YGR178C
YDL230W	YBR233W
YPL031C	YHR071W
YOR231W	YGR202C
YIL042C	YER178W
YGL059W	YER178W
YJL164C	YGL248W
YDL047W	YPL058C
YDR477W	YOR153W
YBR274W	YDR113C
YBR160W	YDR113C
YBR160W	YER149C
YIL035C	YDL065C
YBR136W	YGR240C
YBL088C	YGR240C
YDR477W	YMR205C
YBL105C	YMR205C
YJL164C	YIL107C
YPL141C	YKL127W
YPL153C	YMR105C
YBR160W	YDL106C
YPL031C	YFR034C
YOL001W	YFR034C
YDL047W	YDR481C
YPL031C	YOL001W
YOL001W	YOL001W
YPL153C	YGR233C
YPL042C	YML123C
YKL126W	YML123C
YPL179W	YML123C
YBR160W	YML123C
YPR119W	YML123C
YDL188C	YOR386W
YBR160W	YLR273C
YBR160W	YBL051C
YDL047W	YBL051C
YDR490C	YBL105C
YOL100W	YBL105C
YJR059W	YDR466W
YPL153C	YDR501W
YNL154C	YGL008C
YHR135C	YGL008C
YJR059W	YGL008C
YBR160W	YIL122W
YPR119W	YIL122W
YBR160W	YNL102W
YPL153C	YNL102W
YBR160W	YBL035C
YBR136W	YJR006W
YBL088C	YJR006W
YBR160W	YLR018C
YPR119W	YLR018C
YJL141C	YNR052C
YBR160W	YIL114C
YNL099C	YML016C
YBR160W	YML016C
YPR119W	YML016C
YBR160W	YDR436W
YPR119W	YDR436W
YDR477W	YEL060C
YNL099C	YML092C
YBR136W	YLL036C
YBL088C	YLL036C
YKL116C	YKL116C
YLL010C	YKL116C
YBR160W	YMR137C
YBR160W	YML017W
YBR160W	YBL046W
YBR136W	YBL046W
YBL088C	YBL046W
YPR119W	YBL046W
YIL035C	YER089C
YOR061W	YER089C
YGL019W	YER089C
YOR039W	YER089C
YBR160W	YJR059W
YPR119W	YJR059W
YJR059W	YJR059W
YKL166C	YKL039W
YBR160W	YER075C
YNL154C	YFR029W
YHR135C	YFR029W
YDL134C	YFR029W
YDL188C	YFR029W
YOR014W	YFR029W
YNL099C	YLL013C
YIL035C	YDR496C
YOR061W	YDR496C
YGL019W	YDR496C
YOR039W	YDR496C
YBR160W	YGR253C
YBR136W	YCR057C
YBL088C	YCR057C
YBL088C	YKR090W
YJL164C	YOR347C
YLR240W	YIL121W
YBR136W	YOR368W
YBL088C	YOR368W
YBR136W	YEL037C
YBL088C	YEL037C
YBR136W	YJR035W
YPL153C	YKL113C
YPL153C	YPL153C
YBR136W	YPL153C
YBL088C	YPL153C
YBR160W	YPL153C
YPR119W	YPL153C
YPL153C	YGL163C
YPL153C	YDR076W
YBR136W	YDR076W
YBR160W	YDR217C
YBR136W	YDR217C
YBL088C	YDR217C
YDR477W	YNL098C
YBR160W	YJR033C
YBR160W	YLR248W
YLR113W	YLR248W
YNL307C	YKL159C
YKL190W	YKL159C
YML057W	YKL159C
YLR433C	YKL159C
YPL203W	YOR220W
YHR030C	YOR220W
YDL101C	YMR075W
YDL017W	YJR021C
YBR160W	YLR263W
YBR160W	YDR195W
YPR119W	YDR195W
YBR160W	YDR028C
YBR136W	YOR346W
YBR136W	YAR007C
YBL088C	YAR007C
YJL106W	YNL312W
YBR136W	YNL312W
YBR136W	YJL173C
YBL088C	YJL173C
YBR160W	YOR217W
YPR119W	YOR217W
YPL153C	YLR176C
YBR160W	YOR127W
YPR119W	YOR127W
YPL031C	YDR379W
YBR160W	YDR379W
YPR119W	YDR379W
YBR160W	YPR115W
YPR119W	YPR115W
YBR160W	YDR137W
YJL164C	YKL038W
YBR160W	YKL038W
YBR160W	YBR275C
YBR136W	YBR275C
YBL088C	YBR275C
YJL164C	YFL033C
YPL031C	YFL033C
YOL001W	YFL033C
YBR160W	YFL033C
YIL035C	YOR119C
YOR061W	YOR119C
YGL019W	YOR119C
YOR039W	YOR119C
YKL198C	YPL208W
YDR247W	YPL208W
YBR160W	YPR018W
YPR119W	YPR018W
YHR030C	YPL089C
YDL101C	YNL002C
YDL101C	YIL066C
YDR477W	YOR018W
YBR160W	YLR371W
YPR119W	YLR371W
YPL153C	YDR156W
YNL307C	YDL150W
YPL153C	YER169W
YBR160W	YER169W
YBR160W	YDR418W
YPR119W	YDR418W
YGR203W	YDR418W
YNL183C	YGL031C
YDL047W	YML073C
YIL035C	YDL020C
YOR061W	YDL020C
YGL019W	YDL020C
YOR039W	YDL020C
YKL139W	YDL140C
YJL006C	YDL140C
YMR277W	YDL140C
YPR161C	YDL140C
YDL108W	YDL140C
YLR226W	YDL140C
YPR025C	YDL140C
YOR367W	YDL140C
YDR477W	YGR118W
YNL183C	YER074W
YBR028C	YBR181C
YBR160W	YIL153W
YPR119W	YIL153W
YML057W	YLR221C
YBR136W	YLR357W
YBL088C	YLR357W
YBR160W	YLR357W
YPR119W	YLR357W
YBR136W	YHR056C
YBL088C	YHR056C
YBR136W	YKR008W
YBL088C	YKR008W
YDR477W	YOL138C
YML057W	YBL103C
YDR477W	YDL025C
YBR160W	YOR014W
YPL150W	YOR014W
YPL153C	YHR154W
YBR136W	YHR154W
YBL088C	YHR154W
YDL006W	YOR216C
YPL031C	YDR388W
YDL127W	YDR388W
YBR160W	YDR159W
YBR160W	YDR389W
YPR119W	YDR389W
YBR136W	YGL175C
YBL088C	YGL175C
YBR160W	YGL175C
YBR160W	YER129W
YPR119W	YER129W
YPL042C	YPL274W
YKL139W	YPL274W
YGR262C	YPL274W
YBR136W	YJL098W
YBL088C	YJL098W
YKL198C	YDR351W
YIL095W	YOR329C
YDR490C	YHR205W
YJR066W	YHR205W
YBR160W	YER120W
YPR119W	YER120W
YDL134C	YDR178W
YBR160W	YGL056C
YKL139W	YBR214W
YBR160W	YBR214W
YBR160W	YLR166C
YBR160W	YPL085W
YKL139W	YPL085W
YDR477W	YNL272C
YPL204W	YPR181C
YBR160W	YDL195W
YPL153C	YDL195W
YCR091W	YDL195W
YIL035C	YOR254C
YOR061W	YOR254C
YGL019W	YOR254C
YOR039W	YOR254C
YLR240W	YDR170C
YBR160W	YDR170C
YJL164C	YLR026C
YBR160W	YMR086W
YPR119W	YMR086W
YDR477W	YKL105C
YBR160W	YKL105C
YBR160W	YLL003W
YJR066W	YLR403W
YBR136W	YGL066W
YBL088C	YGL066W
YBR160W	YOR057W
YIL035C	YOR057W
YOR061W	YOR057W
YGL019W	YOR057W
YOR039W	YOR057W
YFL029C	YPR161C
YDL028C	YDR393W
YLR113W	YER118C
YLL019C	YBL058W
YKL198C	YBL058W
YBR160W	YBL058W
YPL031C	YDL225W
YNL289W	YDL225W
YPL153C	YDL225W
YDL134C	YDL225W
YBR160W	YLR079W
YPL031C	YLR079W
YNL289W	YLR079W
YJL106W	YLR079W
YPL256C	YLR079W
YIL035C	YLR079W
YOR061W	YLR079W
YGL019W	YLR079W
YOR039W	YLR079W
YLR019W	YBR103W
YBR160W	YOL004W
YBR136W	YOL004W
YBL088C	YOL004W
YBR160W	YDR422C
YBR160W	YDL042C
YHR030C	YLR442C
YBR160W	YLR442C
YBR160W	YDR227W
YPR119W	YDR227W
YBR136W	YDR227W
YBL088C	YDR227W
YBR160W	YKR072C
YBR160W	YDR409W
YPR119W	YDR409W
YDR477W	YLR187W
YBR160W	YHR149C
YBR160W	YNL167C
YLR113W	YNL167C
YJL164C	YNL167C
YDL028C	YDR328C
YPL031C	YDR328C
YKL198C	YDR328C
YBR160W	YBL007C
YPR119W	YBL007C
YLR019W	YBL007C
YNR031C	YNL243W
YBR160W	YNL243W
YBR160W	YKL108W
YPR120C	YKL108W
YPL153C	YGL113W
YBR160W	YGL113W
YPR120C	YGL113W
YBR160W	YDR515W
YBR160W	YBR156C
YPR119W	YBR156C
YKL168C	YOR195W
YDR466W	YIL105C
YDR490C	YIL105C
YOL100W	YIL105C
YBR160W	YNL047C
YPL153C	YHR030C
YBR136W	YHR030C
YBL088C	YHR030C
YBR136W	YLR135W
YBL088C	YLR135W
YBR160W	YLR086W
YPR119W	YLR086W
YLR113W	YBR182C
YKL048C	YDR477W
YER133W	YDR477W
YDR028C	YDR477W
YPL153C	YOR290C
YBR160W	YDR006C
YBR136W	YMR016C
YBL088C	YMR016C
YBR160W	YLL021W
YPR119W	YLL021W
YNL032W	YLL021W
YBR160W	YGL093W
YDL028C	YGL093W
YBR160W	YDR356W
YDL028C	YDR356W
YDL028C	YMR117C
YKL198C	YPL124W
YBR160W	YPL124W
YPR119W	YPL124W
YPR106W	YPL124W
YDL028C	YPL124W
YPL209C	YKR037C
YDL028C	YKL042W
YBR136W	YLR146C
YBL088C	YLR146C
YPL042C	YHR136C
YPL179W	YHR136C
YBR136W	YPR133C
YBL088C	YPR133C
YNR031C	YPR133C
YLL019C	YPR133C
YLR362W	YHR152W
YBR160W	YHR152W
YFR028C	YHR152W
YBR160W	YER161C
YPR161C	YML010W
YLR226W	YML010W
YBR136W	YBR081C
YBL088C	YBR081C
YBR160W	YNL224C
YBR160W	YML034W
YPR119W	YML034W
YBR160W	YKR091W
YBR160W	YCL037C
YOL045W	YCL037C
YIL035C	YNL189W
YOR061W	YNL189W
YNL032W	YKR092C
YBR160W	YJL092W
YNL161W	YDR293C
YBR160W	YDR293C
YPR119W	YDR293C
YBR160W	YLR006C
YBR160W	YNR031C
YJL164C	YDR443C
YBR160W	YDR443C
YJL164C	YPL232W
YDL047W	YPL232W
YBL016W	YLR452C
YBR160W	YNL309W
YHR076W	YDR169C
YHL007C	YLR362W
YPL042C	YHR084W
YNL025C	YHR084W
YNL154C	YFL026W
YBR160W	YFL026W
YBR160W	YHL007C
YPR119W	YHL007C
YKL139W	YHL007C
YGL059W	YHL007C
YLR019W	YHL007C
YDR477W	YHL007C
YPL256C	YHL007C
