/home/WIN/cdegma/PKTFX/data/dream/lambda_01/5_2
loss	sse	Lt	Lp
4.18369	0.68765	23.52753	30.28730
4.18221	0.68870	23.52221	30.28074
4.18149	0.68543	23.53324	30.28138
4.17965	0.68598	23.52245	30.28273
4.17810	0.68468	23.52428	30.27692
4.17745	0.68383	23.52418	30.27928
4.17685	0.68307	23.52213	30.27815
4.17661	0.68255	23.52261	30.27938
4.17567	0.68248	23.51974	30.27990
4.17553	0.68164	23.52055	30.27764
4.17602	0.68030	23.53140	30.27858
4.17221	0.68084	23.51259	30.27858
4.17139	0.67861	23.52189	30.27635
4.17055	0.67742	23.52194	30.27611
4.17033	0.67682	23.52592	30.27493
4.16903	0.67743	23.51766	30.27260
4.16790	0.67482	23.52775	30.27108
4.16603	0.67380	23.52110	30.27220
4.16632	0.67450	23.52174	30.27190
4.16562	0.67320	23.51844	30.27569
4.16070	0.67331	23.51001	30.26715
4.16380	0.67333	23.51432	30.27301
4.16008	0.67171	23.51365	30.27112
4.16159	0.66843	23.51936	30.27485
4.15802	0.67058	23.51229	30.27170
4.15719	0.66853	23.50986	30.27287
4.15529	0.66733	23.50629	30.27331
4.15417	0.66627	23.50888	30.27446
4.15454	0.66714	23.50520	30.27402
4.15440	0.66681	23.51045	30.27272
4.15371	0.66494	23.51194	30.27705
4.15309	0.66395	23.51460	30.27527
4.15003	0.66526	23.50309	30.27246
4.14939	0.66275	23.50702	30.27715
4.15035	0.66256	23.51454	30.27373
4.14748	0.66265	23.50773	30.27494
4.14668	0.66114	23.50354	30.27655
4.14748	0.65980	23.51174	30.27579
4.14534	0.66099	23.50065	30.27629
4.14399	0.65797	23.50767	30.27720
4.14392	0.65764	23.50929	30.27765
4.14279	0.65771	23.50240	30.27601
4.14248	0.65738	23.50713	30.27431
4.14170	0.65541	23.50114	30.27714
4.13970	0.65368	23.50694	30.27502
4.13915	0.65389	23.50701	30.27024
4.13796	0.65302	23.50547	30.27445
4.13635	0.65348	23.49946	30.27329
4.13504	0.65215	23.49414	30.27309
4.13394	0.65080	23.50044	30.27216
4.13381	0.65197	23.49665	30.26940
4.13232	0.64918	23.50428	30.26874
4.13169	0.64884	23.49688	30.27436
4.13059	0.64817	23.49754	30.27013
4.12887	0.64891	23.49047	30.27005
4.12861	0.64614	23.50342	30.27046
4.12838	0.64695	23.49470	30.27048
4.12882	0.64574	23.49912	30.27378
4.12694	0.64446	23.50018	30.27195
4.12471	0.64355	23.49276	30.27199
4.12408	0.64315	23.48870	30.27261
4.12296	0.64205	23.49586	30.27084
4.12324	0.64203	23.49397	30.27127
4.12151	0.64243	23.49089	30.26814
4.12031	0.64015	23.49894	30.26809
4.11972	0.63862	23.49816	30.26859
4.11961	0.63894	23.49236	30.26651
4.11847	0.63780	23.49751	30.26714
4.11651	0.63671	23.49147	30.26527
4.11654	0.63602	23.49728	30.26553
4.11491	0.63519	23.49725	30.26415
4.11316	0.63430	23.49237	30.26564
4.11449	0.63349	23.49463	30.26628
4.11275	0.63417	23.49103	30.26333
4.11142	0.63182	23.49277	30.26475
4.10904	0.63207	23.48871	30.26204
4.10774	0.63037	23.48272	30.26312
4.10869	0.62965	23.49215	30.26057
4.10608	0.62967	23.48227	30.25995
4.10619	0.62829	23.48689	30.26162
4.10494	0.62803	23.48268	30.26079
4.10340	0.62593	23.49088	30.25929
4.10285	0.62677	23.48582	30.25706
4.10190	0.62540	23.48514	30.25808
4.10096	0.62468	23.48194	30.25770
4.09960	0.62337	23.48391	30.25664
4.09877	0.62315	23.48871	30.25482
4.09913	0.62128	23.48518	30.25842
4.09850	0.62158	23.48680	30.25202
4.09762	0.62028	23.48607	30.25641
4.09387	0.61935	23.48516	30.24842
4.09411	0.61921	23.48052	30.24976
4.09092	0.61852	23.47721	30.24933
4.09102	0.61728	23.48111	30.24685
4.09140	0.61779	23.47934	30.24616
4.08991	0.61778	23.47791	30.24034
4.08914	0.61557	23.48323	30.24363
4.08760	0.61486	23.47652	30.24359
4.08669	0.61365	23.47546	30.24340
4.08450	0.61196	23.47726	30.23715
4.08405	0.61259	23.47729	30.23646
4.08242	0.61120	23.48014	30.23245
4.08144	0.61118	23.47228	30.23163
4.08116	0.61072	23.47159	30.23177
4.07791	0.60901	23.46732	30.23048
4.07822	0.60715	23.46895	30.22851
4.07821	0.60694	23.47638	30.22818
4.07587	0.60668	23.46988	30.22638
4.07466	0.60606	23.47032	30.22510
4.07448	0.60546	23.46868	30.22483
4.07362	0.60450	23.47793	30.22154
4.07114	0.60361	23.46559	30.22341
4.07138	0.60297	23.47191	30.22007
4.07057	0.60048	23.47404	30.21753
4.06975	0.60186	23.47084	30.21424
4.06775	0.60018	23.46879	30.21194
4.06739	0.59799	23.47243	30.21259
4.06444	0.59909	23.46521	30.20659
4.06443	0.59697	23.47051	30.20545
4.06124	0.59617	23.46152	30.20375
4.06174	0.59591	23.46434	30.20160
4.05992	0.59332	23.46797	30.19958
4.06001	0.59374	23.46988	30.19829
4.06100	0.59297	23.46692	30.19920
4.05777	0.59148	23.46329	30.19555
4.05694	0.59127	23.46570	30.19152
4.05614	0.59058	23.46185	30.18793
4.05547	0.58991	23.46124	30.18709
4.05452	0.58801	23.46524	30.18310
4.05471	0.58910	23.46879	30.17834
4.05276	0.58704	23.46903	30.17582
4.05131	0.58554	23.47128	30.17365
4.05088	0.58598	23.46141	30.17220
4.04818	0.58468	23.46563	30.16763
4.04610	0.58409	23.45967	30.16498
4.04483	0.58259	23.46065	30.16076
4.04487	0.58176	23.45836	30.16067
4.04326	0.58015	23.45899	30.15538
4.04127	0.57910	23.45781	30.15533
4.04088	0.57963	23.45694	30.14904
4.04082	0.57856	23.45884	30.14857
4.03908	0.57777	23.45646	30.14483
4.03628	0.57779	23.44639	30.14213
4.03717	0.57533	23.45564	30.14216
4.03274	0.57370	23.45222	30.13455
4.03483	0.57330	23.45919	30.13415
4.03157	0.57148	23.45761	30.13198
4.03073	0.57161	23.45553	30.12744
4.02940	0.57062	23.45567	30.12677
4.02803	0.56916	23.45283	30.12537
4.02769	0.56815	23.45852	30.12408
4.02540	0.56921	23.44683	30.12048
4.02433	0.56836	23.45261	30.11699
4.02485	0.56699	23.45060	30.11622
4.02259	0.56465	23.45324	30.11942
4.02112	0.56191	23.45807	30.11548
4.01924	0.56249	23.44673	30.11652
4.01951	0.56271	23.45512	30.10966
4.01684	0.56100	23.45097	30.10897
4.01721	0.56028	23.45290	30.10614
4.01474	0.55955	23.44958	30.10565
4.01432	0.55854	23.44939	30.10725
4.01363	0.55940	23.45222	30.10240
4.01016	0.55687	23.44085	30.10522
4.01021	0.55630	23.44570	30.10484
4.00968	0.55500	23.44974	30.10458
4.00794	0.55344	23.44899	30.10408
4.00706	0.55292	23.44962	30.10481
4.00532	0.55284	23.44030	30.10408
4.00351	0.54980	23.44970	30.10182
4.00359	0.55009	23.44856	30.10200
4.00153	0.54956	23.44205	30.10048
4.00104	0.54982	23.44251	30.09582
4.00257	0.54801	23.45461	30.09471
3.99880	0.54730	23.44272	30.09285
3.99669	0.54660	23.43510	30.09254
3.99593	0.54404	23.44761	30.09213
3.99464	0.54531	23.43342	30.09243
3.99401	0.54225	23.44458	30.09024
3.99120	0.54169	23.43669	30.09152
3.99105	0.54165	23.44149	30.08525
3.99047	0.54039	23.44408	30.08274
3.98876	0.53939	23.43612	30.08569
3.98714	0.53669	23.44562	30.07997
3.98447	0.53742	23.43413	30.08056
3.98271	0.53528	23.43375	30.07623
3.98331	0.53543	23.43739	30.07552
3.98220	0.53368	23.43418	30.07479
3.98187	0.53339	23.43922	30.07142
3.97900	0.53155	23.43968	30.06907
3.97812	0.53171	23.43997	30.06462
3.97590	0.53100	23.43274	30.06181
3.97337	0.52931	23.43385	30.05829
3.97231	0.52701	23.43987	30.05801
3.97142	0.52703	23.43288	30.05574
3.96948	0.52647	23.42959	30.05435
3.97017	0.52526	23.43511	30.05082
3.96857	0.52335	23.43581	30.04766
3.96604	0.52253	23.43296	30.04510
3.96579	0.52290	23.43325	30.03980
3.96319	0.52259	23.42528	30.03774
3.96377	0.52065	23.42691	30.03712
3.96132	0.52038	23.42799	30.03060
3.95865	0.51953	23.42466	30.02240
3.95843	0.51768	23.42950	30.02648
3.95712	0.51831	23.42584	30.01951
3.95673	0.51517	23.43397	30.01537
3.95452	0.51575	23.43124	30.01360
3.95484	0.51488	23.42567	30.01281
3.95322	0.51219	23.43351	30.00628
3.95060	0.51294	23.42181	30.00363
3.94956	0.51220	23.42820	29.99693
3.94960	0.51007	23.42946	29.99330
3.94628	0.50941	23.42962	29.98960
3.94464	0.50888	23.41821	29.98721
3.94507	0.50728	23.43204	29.98449
3.94362	0.50645	23.42284	29.98455
3.94268	0.50512	23.42874	29.98294
3.93985	0.50365	23.42434	29.98238
3.94000	0.50375	23.42391	29.98144
3.94082	0.50299	23.43157	29.98007
3.93754	0.50162	23.42965	29.97984
3.93670	0.50130	23.42235	29.97963
3.93464	0.49982	23.42248	29.97667
3.93486	0.50124	23.41807	29.97902
3.93108	0.49775	23.42164	29.97534
3.92989	0.49809	23.42001	29.97443
3.92860	0.49799	23.41428	29.97224
3.92868	0.49567	23.42863	29.97036
3.92538	0.49527	23.41652	29.96820
3.92563	0.49360	23.41497	29.97270
3.92547	0.49400	23.41752	29.97125
3.92321	0.49352	23.41791	29.96518
3.92415	0.49194	23.42161	29.96796
3.92164	0.49007	23.42254	29.96615
3.92036	0.48982	23.41107	29.97022
3.91992	0.48959	23.41495	29.96395
3.91931	0.48905	23.41791	29.96256
3.91816	0.48890	23.41953	29.95957
3.91718	0.48820	23.41482	29.96259
3.91631	0.48564	23.42005	29.96206
3.91523	0.48598	23.41273	29.96062
3.91401	0.48475	23.41602	29.95606
3.91222	0.48373	23.41023	29.95622
3.91015	0.48232	23.41345	29.95517
3.91191	0.48161	23.42205	29.95278
3.90742	0.48146	23.40945	29.94938
3.90826	0.48051	23.41504	29.94999
3.90752	0.47944	23.41662	29.95090
3.90413	0.47774	23.41591	29.94292
3.90466	0.47805	23.41578	29.94311
3.90370	0.47658	23.42084	29.94002
3.90140	0.47629	23.41415	29.93769
3.89914	0.47582	23.40860	29.93541
3.90156	0.47627	23.41057	29.93636
3.89916	0.47447	23.40740	29.93536
3.89659	0.47261	23.41240	29.93068
3.89547	0.47068	23.41389	29.93290
3.89334	0.47124	23.40210	29.93074
3.89330	0.47028	23.41124	29.92569
3.89067	0.46959	23.40492	29.92455
3.89085	0.47011	23.40338	29.92366
3.89011	0.46707	23.40581	29.92974
3.88846	0.46700	23.40520	29.92507
3.88845	0.46714	23.40662	29.92253
3.88814	0.46688	23.40780	29.92324
3.88812	0.46567	23.40627	29.92522
