P	Target
YKL168C	YDL103C
YKL168C	YDR179C
YKL168C	YFL023W
YKL168C	YGR180C
YKL168C	YGR205W
YKL168C	YHR182W
YKL168C	YJL138C
YKL168C	YJL189W
YKL168C	YJR076C
YKL168C	YKL091C
YKL168C	YKL130C
YKL168C	YMR140W
YKL168C	YMR196W
YKL168C	YNR033W
YKL168C	YOR335C
YKL168C	YPR035W
YLR096W	YAR015W
YLR096W	YBR088C
YLR096W	YDR071C
YLR096W	YDR173C
YLR096W	YFR010W
YLR096W	YGL210W
YLR096W	YGR001C
YLR096W	YGR238C
YLR096W	YGR287C
YLR096W	YHR049W
YLR096W	YJR092W
YLR096W	YLR438W
YLR096W	YML048W
YLR096W	YMR120C
YLR096W	YMR196W
YLR096W	YNL027W
YLR096W	YNR064C
YLR096W	YOL082W
YLR096W	YOR184W
YLR096W	YOR224C
YLR248W	YDL203C
YLR248W	YKL114C
YLR248W	YMR068W
YLR248W	YMR178W
YLR362W	YER087W
YLR362W	YER174C
YLR362W	YGR187C
YLR362W	YJL138C
YLR362W	YJR047C
YLR362W	YMR139W
YLR362W	YNL113W
YLR362W	YPL133C
YLR362W	YPL201C
YMR139W	YIL082WA
YMR139W	YKL193C
YMR139W	YMR291W
YMR216C	YFR024C-A
YMR216C	YGR287C
YMR216C	YIL082WA
YMR216C	YJR119C
YMR216C	YMR114C
YMR216C	YMR140W
YMR216C	YNL112W
YMR216C	YOR309C
YMR216C	YPR174C
YMR291W	YDL115C
YMR291W	YEL012W
YMR291W	YER139C
YMR291W	YGL137W
YMR291W	YGL210W
YMR291W	YGR135W
YMR291W	YKL181W
YMR291W	YMR139W
YMR291W	YOR089C
YMR291W	YOR141C
YNL020C	YGR130C
YNL020C	YMR196W
YNL020C	YNL272C
YNL154C	YDL203C
YNL154C	YGL245W
YNL154C	YGR168C
YNL154C	YKL091C
YNL154C	YLR410W
YNL154C	YNL189W
YNL154C	YNL292W
YNL154C	YNR034W
YNL154C	YOR084W
YNL161W	YBL069W
YNL161W	YBR169C
YNL161W	YDR132C
YNL161W	YDR293C
YNL161W	YER036C
YNL161W	YER067W
YNL161W	YFL010C
YNL161W	YGL210W
YNL161W	YIL016W
YNL161W	YKR079C
YNL161W	YOL070C
YNL183C	YDL126C
YNL183C	YDL173W
YNL183C	YEL053C
YNL183C	YER027C
YNL183C	YER087W
YNL183C	YGL023C
YNL183C	YGR167W
YNL183C	YHL034C
YNL183C	YKL181W
YNL183C	YLL018C
YNL183C	YLR257W
YNL183C	YNL148C
YNL183C	YOL066C
YNL183C	YPL077C
YNL183C	YPL239W
YNL183C	YPR135W
YNL298W	YBR031W
YNL298W	YBR252W
YNL298W	YEL029C
YNL298W	YGR200C
YNL298W	YJL070C
YNL298W	YJR082C
YNL298W	YKL023W
YNL307C	YGL019W
YNL307C	YGR001C
YNL307C	YJR076C
YNL307C	YJR129C
YNL307C	YNL104C
YNL307C	YNR033W
YNL307C	YPR089W
YNR031C	YDR256C
YNR031C	YFL023W
YNR031C	YGR167W
YNR031C	YGR287C
YNR031C	YHL033C
YNR031C	YHR182W
YNR031C	YJL019W
YNR031C	YKL052C
YNR031C	YLR287C
YNR031C	YMR140W
YNR031C	YMR196W
YOL016C	YBR071W
YOL016C	YBR087W
YOL016C	YBR099C
YOL016C	YBR129C
YOL016C	YBR220C
YOL016C	YCL061C
YOL016C	YCR075C
YOL016C	YDL143W
YOL016C	YDR335W
YOL016C	YDR344C
YOL016C	YDR416W
YOL016C	YEL028W
YOL016C	YER119C
YOL016C	YER128W
YOL016C	YER142C
YOL016C	YER154W
YOL016C	YER174C
YOL016C	YGR205W
YOL016C	YGR258C
YOL016C	YHR008C
YOL016C	YHR104W
YOL016C	YIL032C
YOL016C	YIL053W
YOL016C	YIL167W
YOL016C	YJL076W
YOL016C	YJL124C
YOL016C	YJL175W
YOL016C	YJL177W
YOL016C	YJL188C
YOL016C	YKL142W
YOL016C	YKL149C
YOL016C	YKL164C
YOL016C	YKL167C
YOL016C	YLR212C
YOL016C	YLR307W
YOL016C	YLR370C
YOL016C	YMR071C
YOL016C	YMR153W
YOL016C	YMR154C
YOL016C	YNL201C
YOL016C	YOR057W
YOL016C	YOR264W
YOL016C	YPL138C
YOL016C	YPL166W
YOL016C	YPR036W
YOL016C	YPR169W
YOL016C	YPR187W
YOL045W	YBR177C
YOL045W	YDL103C
YOL045W	YDR256C
YOL045W	YGR180C
YOL045W	YHR104W
YOL045W	YHR214CC
YOL045W	YJL138C
YOL045W	YJR070C
YOL045W	YKL127W
YOL045W	YMR041C
YOL045W	YMR205C
YOL045W	YNL117W
YOL045W	YNL121C
YOL045W	YNL317W
YOL045W	YNR033W
YOL045W	YNR064C
YOL045W	YOR184W
YOL045W	YOR335C
YOL045W	YPL077C
YOL045W	YPR035W
YOL061W	YBR031W
YOL061W	YBR252W
YOL061W	YEL029C
YOL061W	YGR200C
YOL061W	YJR082C
YOL061W	YKL023W
YOL061W	YKL211C
YOL061W	YKR047W
YOL061W	YMR146C
YOL061W	YNR046W
YOL100W	YBL058W
YOL100W	YCR052W
YOL100W	YDL099W
YOL100W	YDR188W
YOL100W	YDR382W
YOL100W	YER139C
YOL100W	YFL023W
YOL100W	YGR021W
