P	Target	Relationship
YBR160W	YJR070C	kinase
YBR160W	YJR076C	kinase
YBR160W	YJR082C	kinase
YBR160W	YJR083C	kinase
YBR160W	YJR090C	kinase
YBR160W	YJR092W	kinase
YBR160W	YKL005C	kinase
YBR160W	YKL022C	kinase
YBR160W	YKL023W	kinase
YBR160W	YKL038W	kinase
YBR160W	YKL042W	kinase
YBR160W	YKL048C	kinase
YBR160W	YKL052C	kinase
YBR160W	YKL062W	kinase
YBR160W	YKL089W	kinase
YBR160W	YKL092C	kinase
YBR160W	YKL093W	kinase
YBR160W	YKL101W	kinase
YBR160W	YKL105C	kinase
YBR160W	YKL108W	kinase
YBR160W	YKL116C	kinase
YBR160W	YKL140W	kinase
YBR160W	YKL168C	kinase
YBR160W	YKL185W	kinase
YBR160W	YKL211C	kinase
YBR160W	YKL213C	kinase
YBR160W	YKR021W	kinase
YBR160W	YKR062W	kinase
YBR160W	YKR072C	kinase
YBR160W	YKR077W	kinase
YBR160W	YKR080W	kinase
YBR160W	YKR089C	kinase
YBR160W	YKR091W	kinase
YBR160W	YKR095W	kinase
YBR160W	YKR099W	kinase
YBR160W	YLL003W	kinase
YBR160W	YLL021W	kinase
YBR160W	YLL032C	kinase
YBR160W	YLL039C	kinase
YBR160W	YLL040C	kinase
YBR160W	YLL061W	kinase
YBR160W	YLR006C	kinase
YBR160W	YLR018C	kinase
YBR160W	YLR045C	kinase
YBR160W	YLR049C	kinase
YBR160W	YLR079W	kinase
YBR160W	YLR086W	kinase
YBR160W	YLR096W	kinase
YBR160W	YLR102C	kinase
YBR160W	YLR116W	kinase
YBR160W	YLR131C	kinase
YBR160W	YLR166C	kinase
YBR160W	YLR182W	kinase
YBR160W	YLR183C	kinase
YBR160W	YLR187W	kinase
YBR160W	YLR190W	kinase
YBR160W	YLR210W	kinase
YBR160W	YLR212C	kinase
YBR160W	YLR219W	kinase
YBR160W	YLR229C	kinase
YBR160W	YLR238W	kinase
YBR160W	YLR248W	kinase
YBR160W	YLR263W	kinase
YBR160W	YLR273C	kinase
YBR160W	YLR314C	kinase
YBR160W	YLR319C	kinase
YBR160W	YLR337C	kinase
YBR160W	YLR353W	kinase
YBR160W	YLR357W	kinase
YBR160W	YLR371W	kinase
YBR160W	YLR386W	kinase
YBR160W	YLR410W	kinase
YBR160W	YLR425W	kinase
YBR160W	YLR442C	kinase
YBR160W	YLR457C	kinase
YBR160W	YML016C	kinase
YBR160W	YML017W	kinase
YBR160W	YML027W	kinase
YBR160W	YML029W	kinase
YBR160W	YML034W	kinase
