loss	sse	Lt	Lp	epoch	time
66855.36198	59227.50957	24010.80880	750.52266	268	2019-12-13T15:38:13.264
66804.40266	59179.45833	24014.82696	747.68943	271	2019-12-13T15:58:11.829
66752.27847	59132.51835	24018.39135	744.14038	274	2019-12-13T16:17:05.289
66694.89451	59087.16879	24021.77549	725.57596	277	2019-12-13T16:36:10.43
66647.55166	59042.64908	24025.37085	726.93322	280	2019-12-13T16:54:24.152
66597.57346	58998.86478	24028.92806	719.42459	283	2019-12-13T17:13:06.185
66564.40843	58955.77824	24032.13544	748.76997	286	2019-12-13T17:31:38.994
66521.71337	58914.48090	24035.23488	754.47324	289	2019-12-13T17:50:35.723
66469.97413	58873.88849	24037.95830	734.37529	292	2019-12-13T18:09:25.389
66418.27819	58834.05175	24040.52150	715.62782	295	2019-12-13T18:28:49.193
66381.39243	58795.58281	24042.98207	725.76536	298	2019-12-13T18:47:57.572
66338.61185	58757.46016	24045.69462	725.59445	301	2019-12-13T19:07:02.262
66315.62952	58720.41491	24048.13762	761.78428	304	2019-12-13T19:26:07.875
66268.55458	58683.89631	24050.47503	746.65988	307	2019-12-13T19:45:27.741
66233.30193	58648.30031	24052.71344	751.12379	310	2019-12-13T20:04:59.763
66184.61843	58613.88606	24054.60386	728.84963	313	2019-12-13T20:24:16.005
66136.80997	58580.49960	24056.26489	704.47402	316	2019-12-13T20:43:28.962
66102.93150	58547.41244	24058.07771	710.33885	319	2019-12-13T21:02:24.075
66085.79623	58514.78574	24059.96836	754.02854	322	2019-12-13T21:21:08.575
66050.26303	58482.62943	24061.45462	754.29608	325	2019-12-13T21:40:32.883
66013.91326	58451.91987	24062.93738	751.10127	328	2019-12-13T21:59:35.941
65970.75528	58421.61846	24064.58058	728.21204	331	2019-12-13T22:19:31.76
65938.90155	58391.38707	24066.01158	733.11231	334	2019-12-13T22:37:59.108
65905.33907	58362.36899	24067.26105	729.23052	337	2019-12-13T22:56:51.77
65881.41818	58333.88300	24068.45305	751.70215	340	2019-12-13T23:16:01.455
65846.11988	58306.06598	24069.82114	745.07143	343	2019-12-13T23:35:54.988
65815.53411	58278.23925	24071.07907	743.62828	346	2019-12-13T23:55:22.527
65779.21571	58251.17854	24072.21687	732.59676	349	2019-12-14T00:14:48.864
65745.49198	58225.43616	24073.38052	722.64226	352	2019-12-14T00:34:32.112
65714.99128	58199.28437	24074.26676	717.95195	355	2019-12-14T00:53:10.923
65704.72049	58173.65483	24075.06162	763.93161	358	2019-12-14T01:12:07.848
65680.88290	58148.85568	24076.19857	775.23438	361	2019-12-14T01:31:23.95
65642.25129	58124.34943	24077.26899	751.15781	364	2019-12-14T01:49:52.867
65603.84520	58099.71923	24078.22957	725.34921	367	2019-12-14T02:08:23.842
65583.59349	58076.65756	24078.66178	744.28275	370	2019-12-14T02:26:31.869
65548.07408	58053.68654	24079.28840	722.14591	373	2019-12-14T02:46:10.907
65535.79432	58031.10013	24079.72892	754.93167	376	2019-12-14T03:04:50.287
65509.00593	58009.05672	24079.95450	753.43389	379	2019-12-14T03:24:09.737
65472.68761	57987.27622	24080.46693	729.79368	382	2019-12-14T03:42:51.269
65446.40960	57966.14128	24080.78168	725.26513	385	2019-12-14T04:02:25.59
65423.52042	57944.71427	24081.15875	729.95232	388	2019-12-14T04:21:25.381
65394.42734	57924.46098	24081.42925	719.08290	391	2019-12-14T04:40:34.953
65394.26988	57904.45581	24081.74196	774.53727	394	2019-12-14T05:00:27.046
65368.44505	57884.30677	24082.26766	770.85096	397	2019-12-14T05:20:14.064
65334.05296	57864.72451	24082.45808	743.34388	400	2019-12-14T05:39:44.015
65303.21525	57845.72802	24082.69200	725.03615	403	2019-12-14T05:58:53.972
65279.38260	57826.55684	24082.74712	722.02269	406	2019-12-14T06:17:56.481
65258.04772	57808.35535	24082.80909	723.82560	409	2019-12-14T06:36:37.067
65245.33132	57790.61532	24082.67989	747.65344	412	2019-12-14T06:56:01.202
65225.71819	57772.54113	24082.85985	751.16816	415	2019-12-14T07:15:02.392
65203.77639	57754.97371	24082.79253	750.29232	418	2019-12-14T07:34:47.252
65177.77612	57737.88394	24083.07974	738.15590	421	2019-12-14T07:53:42.582
65149.91281	57720.80895	24083.11144	723.07160	424	2019-12-14T08:12:34.866
65125.39448	57703.84114	24083.06889	714.85870	427	2019-12-14T08:31:12.091
65127.26149	57687.67613	24083.02053	767.00990	430	2019-12-14T08:49:55.678
65108.50791	57671.82422	24083.08292	769.21022	433	2019-12-14T09:08:58.116
65080.09575	57655.58819	24083.15440	747.10697	436	2019-12-14T09:27:55.072
65049.32360	57640.04199	24083.11504	718.80309	439	2019-12-14T09:47:48.485
65038.72484	57625.41264	24082.79092	739.53321	442	2019-12-14T10:06:50.326
65016.12716	57610.40683	24082.75508	731.75804	445	2019-12-14T10:25:56.184
65010.47580	57595.17912	24082.73779	761.64527	448	2019-12-14T10:44:42.949
64992.21592	57581.26574	24082.50169	762.88095	451	2019-12-14T11:03:51.902
64966.48903	57566.16650	24082.65837	744.02906	454	2019-12-14T11:23:08.6
64940.10452	57552.01269	24082.65324	726.77292	457	2019-12-14T11:42:39.305
64928.44308	57538.35062	24082.50162	739.53474	460	2019-12-14T12:01:49.675
64905.53689	57524.24206	24082.40301	726.78544	463	2019-12-14T12:21:58.52
64905.60922	57510.93632	24082.23730	767.00104	466	2019-12-14T12:40:14.934
64888.87789	57497.64409	24082.12981	766.90345	469	2019-12-14T12:58:38.51
64864.98639	57484.18315	24081.76970	751.00106	472	2019-12-14T13:17:51.696
64835.86747	57471.51306	24081.17421	719.77366	475	2019-12-14T13:37:29.462
64828.15680	57459.06189	24080.88945	741.72179	478	2019-12-14T13:56:59.485
64812.25605	57446.13669	24080.57949	741.44952	481	2019-12-14T14:16:10.58
64799.10650	57433.88725	24079.90331	747.57857	484	2019-12-14T14:35:00.168
64785.05177	57421.98775	24079.48027	751.09285	487	2019-12-14T14:53:47.414
64768.49248	57409.49340	24079.45074	746.81271	490	2019-12-14T15:12:44.597
64744.45879	57397.79882	24078.96855	724.71482	493	2019-12-14T15:29:46.338
64729.65534	57386.33464	24078.30214	726.68985	496	2019-12-14T15:46:52.672
64717.08248	57375.09095	24077.46479	731.22090	499	2019-12-14T16:03:37.47
