loss	sse	Lp	epoch	time
4452435.68900	4787430.76250	14439.03140	139	2020-02-08T00:38:09.929
4428720.00135	4761788.96089	14439.44607	140	2020-02-08T01:01:41.53
4405326.11447	4736498.44541	14439.85985	141	2020-02-08T01:25:11.199
4382251.31686	4711555.40363	14440.27244	142	2020-02-08T01:48:43.119
4359492.71731	4686955.77329	14440.68486	143	2020-02-08T02:12:40.974
4337046.95396	4662695.09479	14441.09358	144	2020-02-08T02:36:30.356
4314910.32982	4638768.45343	14441.50240	145	2020-02-08T03:00:19.346
4293078.57730	4615170.52028	14441.91435	146	2020-02-08T03:24:10.586
4271547.13011	4591895.65286	14442.32633	147	2020-02-08T03:48:30.685
4250311.01377	4568938.05892	14442.73973	148	2020-02-08T04:12:30.22
4229365.15395	4546291.95189	14443.15551	149	2020-02-08T04:36:33.413
4208704.57690	4523951.68784	14443.57340	150	2020-02-08T05:00:28.431
4188324.27173	4501911.84991	14443.99061	151	2020-02-08T05:24:08.873
4168219.31643	4480167.26567	14444.41039	152	2020-02-08T05:47:52.148
4148384.90985	4458712.96341	14444.83016	153	2020-02-08T06:12:23.932
4128816.19892	4437544.08126	14445.24819	154	2020-02-08T06:36:26.769
4109508.25706	4416655.75154	14445.66882	155	2020-02-08T07:00:03.746
4090455.97691	4396042.98945	14446.08895	156	2020-02-08T07:23:47.56
4071654.08746	4375700.61242	14446.51129	157	2020-02-08T07:48:05.158
4053097.07434	4355623.19055	14446.93378	158	2020-02-08T08:12:27.81
4034779.33288	4335805.04281	14447.35457	159	2020-02-08T08:37:13.229
4016694.96253	4316240.27047	14447.77470	160	2020-02-08T09:01:18.827
3998837.97312	4296922.81678	14448.19694	161	2020-02-08T09:26:01.858
3981202.51027	4277846.53978	14448.62133	162	2020-02-08T09:49:39.81
3963782.63643	4259005.27573	14449.04513	163	2020-02-08T10:13:30.673
3946572.56224	4240392.89175	14449.46940	164	2020-02-08T10:37:05.51
3929566.72304	4222003.31903	14449.89297	165	2020-02-08T11:00:56.363
3912759.63176	4203830.56460	14450.31657	166	2020-02-08T11:24:55.819
3896145.87958	4185868.71122	14450.74044	167	2020-02-08T11:47:35.005
3879720.20629	4168111.91722	14451.16446	168	2020-02-08T12:10:26.269
3863477.50747	4150554.41587	14451.58947	169	2020-02-08T12:33:27.861
3847412.68014	4133190.52663	14452.01232	170	2020-02-08T12:57:09.584
3831520.75182	4116014.67250	14452.43462	171	2020-02-08T13:20:44.007
3815796.84934	4099021.41529	14452.85665	172	2020-02-08T13:44:23.948
3800236.30255	4082205.49110	14453.27661	173	2020-02-08T14:07:40.497
3784834.56214	4065561.84464	14453.69553	174	2020-02-08T14:32:03.476
3769587.24435	4049085.65579	14454.11338	175	2020-02-08T14:55:57.391
3754490.14802	4032772.34943	14454.52954	176	2020-02-08T15:19:36.181
3739539.30804	4016617.59694	14454.94536	177	2020-02-08T15:43:05.952
3724730.93305	4000617.30073	14455.35971	178	2020-02-08T16:06:32.636
3710061.38224	3984767.57287	14455.77437	179	2020-02-08T16:29:20.553
3695527.12575	3969064.71182	14456.18837	180	2020-02-08T16:52:28.121
3681124.80374	3953505.17502	14456.60184	181	2020-02-08T17:15:44.481
3666851.22593	3938085.56143	14457.01624	182	2020-02-08T17:39:04.957
3652703.33133	3922802.60053	14457.43134	183	2020-02-08T18:02:54.663
3638678.06761	3907653.14700	14457.84540	184	2020-02-08T18:26:28.667
3624772.58186	3892634.17911	14458.25899	185	2020-02-08T18:50:10.184
3610984.25780	3877742.79930	14458.67373	186	2020-02-08T19:14:07.73
3597310.44762	3862976.23380	14459.08801	187	2020-02-08T19:37:40.224
3583748.76377	3848331.82931	14459.50092	188	2020-02-08T20:00:58.341
3570296.83968	3833807.04823	14459.91318	189	2020-02-08T20:24:29.213
3556952.45906	3819399.46119	14460.32719	190	2020-02-08T20:48:09.4
3543713.54088	3805106.74227	14460.74024	191	2020-02-08T21:11:54.105
3530578.10858	3790926.66076	14461.15220	192	2020-02-08T21:35:31.169
3517544.22415	3776857.07884	14461.56630	193	2020-02-08T21:59:20.609
3504609.99750	3762895.94580	14461.98134	194	2020-02-08T22:22:49.511
3491773.73641	3749041.30141	14462.39801	195	2020-02-08T22:46:21.368
3479033.70057	3735291.27706	14462.81473	196	2020-02-08T23:09:51.483
3466388.30570	3721644.08781	14463.23081	197	2020-02-08T23:34:04.61
3453835.97938	3708098.03131	14463.64690	198	2020-02-08T23:57:47.403
3441375.17689	3694651.48286	14464.06281	199	2020-02-09T00:21:11.121
3429004.54291	3681302.88526	14464.47910	200	2020-02-09T00:44:23.49
