cancel	mean_k	vec	norm	lam	λB	λW	AUC_T	AUC_P	AUC_Tpos	AUC_Tneg	AUC_Ppos	AUC_Pneg	AUC_sum
false	true	true	2	0	0.1	0.0	0.9	0.5833333333333334	0.18181818181818177	1.0	0.4285714285714286	0.2857142857142857	3.3794372294372295
true	true	true	2	0	0.1	0.0	1.0	0.5	1.0	1.0	0.8571428571428571	0.7142857142857143	5.071428571428571
false	false	true	2	0	0.1	0.0	1.0	0.9166666666666666	1.0	1.0	0.8571428571428571	1.0	5.773809523809524
true	false	true	2	0	0.1	0.0	1.0	0.5833333333333334	1.0	1.0	0.4285714285714286	0.8571428571428571	4.869047619047619
false	true	false	2	0	0.1	0.0	0.85	0.75	1.0	0.9090909090909091	0.0	0.7142857142857143	4.223376623376623
true	true	false	2	0	0.1	0.0	1.0	0.8333333333333334	1.0	1.0	0.8571428571428571	1.0	5.690476190476191
false	false	false	2	0	0.1	0.0	1.0	0.4166666666666667	1.0	1.0	0.2857142857142857	1.0	4.7023809523809526
true	false	false	2	0	0.1	0.0	1.0	0.4166666666666667	1.0	1.0	0.0	0.4285714285714286	3.845238095238096
false	true	true	0	1	0.1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	6
true	true	true	0	1	0.1	0.0	0.9500000000000001	0.33333333333333337	1.0	1.0	0.7142857142857143	0.7142857142857143	4.711904761904762
false	false	true	0	1	0.1	0.0	1.0	0.5833333333333334	1.0	1.0	1.0	0.2857142857142857	4.869047619047619
true	false	true	0	1	0.1	0.0	1.0	0.33333333333333337	1.0	1.0	0.7142857142857143	0.4285714285714286	4.476190476190476
false	true	false	0	1	0.1	0.0	0.85	0.5833333333333334	1.0	0.8181818181818181	0.5714285714285714	0.1428571428571429	3.9658008658008654
true	true	false	0	1	0.1	0.0	1.0	0.75	1.0	1.0	0.1428571428571429	1.0	4.892857142857142
false	false	false	0	1	0.1	0.0	1.0	0.75	1.0	1.0	0.8571428571428571	1.0	5.607142857142858
true	false	false	0	1	0.1	0.0	0.75	0.75	0.9090909090909091	0.36363636363636365	0.0	0.1428571428571429	2.9155844155844157
false	true	true	1	1	0.1	0.0	0.9	0.5833333333333334	1.0	0.9090909090909091	1.0	0.8571428571428571	5.249567099567099
true	true	true	1	1	0.1	0.0	1.0	0.75	1.0	1.0	0.8571428571428571	0.2857142857142857	4.892857142857142
false	false	true	1	1	0.1	0.0	0.9	0.4166666666666667	0.9090909090909091	1.0	0.1428571428571429	0.2857142857142857	3.6543290043290044
