"SUID","interaction","name","selected","shared interaction","shared name","WP","WT"
"282990","T","STRE (T) YPL050C","false","T","STRE (T) YPL050C",,"1.0"
"282991","T","STRE (T) YGR254W","false","T","STRE (T) YGR254W",,"1.0"
"282992","T","STRE (T) YIR033W","false","T","STRE (T) YIR033W",,"1.0"
"282993","T","STRE (T) YCL051W","false","T","STRE (T) YCL051W",,"1.0"
"282994","T","STRE (T) YCL052C","false","T","STRE (T) YCL052C",,"1.0"
"282995","T","STRE (T) YPR074C","false","T","STRE (T) YPR074C",,"1.0"
"282996","T","STRE (T) YCL054W","false","T","STRE (T) YCL054W",,"1.0"
"282997","T","STRE (T) YGL006W","false","T","STRE (T) YGL006W",,"1.0"
"282998","T","STRE (T) YBR072W","false","T","STRE (T) YBR072W",,"1.0"
"282999","T","STRE (T) YLL055W","false","T","STRE (T) YLL055W",,"1.0"
"283000","T","STRE (T) YPL219W","false","T","STRE (T) YPL219W",,"1.0"
"283001","T","STRE (T) YDR510W","false","T","STRE (T) YDR510W",,"1.0"
"283002","T","STRE (T) YER067W","false","T","STRE (T) YER067W",,"1.0"
"283003","T","STRE (T) YDR511W","false","T","STRE (T) YDR511W",,"1.0"
"283004","T","STRE (T) YIR013C","false","T","STRE (T) YIR013C",,"1.0"
"283005","T","STRE (T) YFR015C","false","T","STRE (T) YFR015C",,"1.0"
"283006","T","STRE (T) YJL052W","false","T","STRE (T) YJL052W",,"1.0"
"283007","T","STRE (T) YPR100W","false","T","STRE (T) YPR100W",,"1.0"
"283008","T","STRE (T) YCR075C","false","T","STRE (T) YCR075C",,"1.0"
"283009","T","STRE (T) YFR017C","false","T","STRE (T) YFR017C",,"1.0"
"283010","T","YAL051W (T) YML128C","false","T","YAL051W (T) YML128C",,"3.0"
"283011","T","YAL051W (T) YMR272C","false","T","YAL051W (T) YMR272C",,"1.0"
"283012","T","YAL051W (T) YJL218W","false","T","YAL051W (T) YJL218W",,"2.0"
"283013","T","YAL051W (T) YDR244W","false","T","YAL051W (T) YDR244W",,"2.0"
"283014","T","YAL051W (T) YGL096W","false","T","YAL051W (T) YGL096W",,"2.0"
"283015","T","YAL051W (T) YCR020CA","false","T","YAL051W (T) YCR020CA",,"1.0"
"283016","T","YAL051W (T) YOL111C","false","T","YAL051W (T) YOL111C",,"2.0"
"283017","T","YAL051W (T) YJL222W","false","T","YAL051W (T) YJL222W",,"1.0"
"283018","T","YAL051W (T) YMR009W","false","T","YAL051W (T) YMR009W",,"2.0"
